levels,maximum_depth,separation_scale,theta_separation,variation_budget,witness_found,theta_first,theta_second,visibility_first,visibility_second,total_variation_first,total_variation_second,maximum_probability_gap
7,127,0.005,3.937007874015748e-05,0.18,True,0.19734307742782153,0.1973824475065617,"[0.550749469365803, 0.550749469365803, 0.550749469365803, 0.550749469365803, 0.550749469365803, 0.550749469365803, 0.550749469365803]","[0.5507675355320808, 0.5510691283747884, 0.5506287585435744, 0.5505029662647694, 0.5502893696363705, 0.5500084348627085, 0.55]",0.0,0.0013707212174959293,1.1102230246251565e-16
7,127,0.01,7.874015748031496e-05,0.18,True,0.19732948818897636,0.1974082283464567,"[0.5514826067770068, 0.5514826067770068, 0.5514826067770068, 0.5514826067770068, 0.5514826067770068, 0.5514826067770068, 0.5514826067770068]","[0.5515187890437233, 0.5521230287833417, 0.5512409502907055, 0.5509893267789107, 0.5505627004947778, 0.5500040525038989, 0.55]",0.0,0.0027272685229601246,0.0
7,127,0.02,0.00015748031496062991,0.18,True,0.19730230971128607,0.1974597900262467,"[0.5529430580693248, 0.5529430580693248, 0.5529430580693248, 0.5529430580693248, 0.5529430580693248, 0.5529430580693248, 0.5529430580693248]","[0.5530156216053702, 0.5542283097619849, 0.5524588119186978, 0.5519554167197319, 0.55110444131535, 0.55, 0.5500430298084914]",0.0,0.00548402772709089,1.1102230246251565e-16
7,127,0.05,0.00039370078740157485,0.18,True,0.19719247375328083,0.19758617454068242,"[0.5573576636438811, 0.5573576636438811, 0.5573576636438811, 0.5573576636438811, 0.5573576636438811, 0.5573576636438811, 0.5573576636438811]","[0.5575405473553133, 0.5606025659522488, 0.5561385924507714, 0.5548740123308666, 0.5527434837589925, 0.55, 0.550190963537224]",0.0,0.013855548086408098,0.0
8,255,0.002,7.84313725490196e-06,0.18,True,0.19687230392156863,0.19688014705882353,"[0.5502902875012331, 0.5502902875012331, 0.5502902875012331, 0.5502902875012331, 0.5502902875012331, 0.5502902875012331, 0.5502902875012331, 0.5502902875012331]","[0.5502938736636579, 0.5503533727208312, 0.550265779998178, 0.5502390389673955, 0.5501895606381727, 0.5501062706970565, 0.55, 0.550015803045208]",0.0,0.0004286748232124049,0.0
8,255,0.005,1.9607843137254903e-05,0.18,True,0.19683992810457515,0.1968595359477124,"[0.5507621557301527, 0.5507621557301527, 0.5507621557301527, 0.5507621557301527, 0.5507621557301527, 0.5507621557301527, 0.5507621557301527, 0.5507621557301527]","[0.5507711275258578, 0.5509199461779962, 0.5507007711775331, 0.5506336356191807, 0.5505089013412048, 0.5502967704520052, 0.5500163378853264, 0.55]",0.0,0.0010687648301346275,1.1102230246251565e-16
8,255,0.01,3.9215686274509805e-05,0.18,True,0.19683318954248363,0.19687240522875815,"[0.5515078349444156, 0.5515078349444156, 0.5515078349444156, 0.5515078349444156, 0.5515078349444156, 0.5515078349444156, 0.5515078349444156, 0.5515078349444156]","[0.5515258032870399, 0.5518239049277653, 0.5513849216024783, 0.5512505457438168, 0.5510010478320934, 0.5505773700193871, 0.5500197616202984, 0.55]",0.0,0.0021220065684907086,1.1102230246251565e-16
8,255,0.02,7.843137254901961e-05,0.18,True,0.19681971241830065,0.19689814379084966,"[0.552961735813684, 0.552961735813684, 0.552961735813684, 0.552961735813684, 0.552961735813684, 0.552961735813684, 0.552961735813684, 0.552961735813684]","[0.5529977690704334, 0.5535957903317694, 0.5527153491925313, 0.5524461976720728, 0.5519471206648712, 0.5511021584981274, 0.55, 0.550011995136371]",0.0,0.004205806729476347,0.0
8,255,0.05,0.00019607843137254904,0.18,True,0.1967509640522876,0.19694704248366013,"[0.5576969044994301, 0.5576969044994301, 0.5576969044994301, 0.5576969044994301, 0.5576969044994301, 0.5576969044994301, 0.5576969044994301, 0.5576969044994301]","[0.5577877583992776, 0.5592967194644963, 0.5570756229592094, 0.5563967997715755, 0.5551373885620905, 0.553000668105762, 0.5501835847950605, 0.55]",0.0,0.010805680529714978,5.551115123125783e-17
9,511,0.002,3.913894324853229e-06,0.18,True,0.19661865753424657,0.19662257142857142,"[0.5502856123823091, 0.5502856123823091, 0.5502856123823091, 0.5502856123823091, 0.5502856123823091, 0.5502856123823091, 0.5502856123823091, 0.5502856123823091, 0.5502856123823091]","[0.5502873993547961, 0.5503169551749912, 0.5502732567436562, 0.5502594630524323, 0.5502329150321147, 0.5501839268459038, 0.5501020165257292, 0.55, 0.5500299419134687]",0.0,0.0003764529086549562,1.1102230246251565e-16
9,511,0.005,9.784735812133073e-06,0.18,True,0.19661664383561644,0.1966264285714286,"[0.5507129313207434, 0.5507129313207434, 0.5507129313207434, 0.5507129313207434, 0.5507129313207434, 0.5507129313207434, 0.5507129313207434, 0.5507129313207434, 0.5507129313207434]","[0.5507174022552767, 0.5507913537306041, 0.550682019894887, 0.5506475147638539, 0.5505811171668735, 0.5504586451798, 0.5502540561844261, 0.55, 0.5500787282834779]",0.0,0.0009440334894093017,1.1102230246251565e-16
9,511,0.01,1.9569471624266145e-05,0.18,True,0.19658495596868883,0.1966045254403131,"[0.5515760682142421, 0.5515760682142421, 0.5515760682142421, 0.5515760682142421, 0.5515760682142421, 0.5515760682142421, 0.5515760682142421, 0.5515760682142421, 0.5515760682142421]","[0.5515850227782993, 0.5517330983878115, 0.5515140839939655, 0.5514447348577577, 0.551310773144421, 0.551061578201585, 0.5506364888284799, 0.5500685097827184, 0.55]",0.0,0.0018811739973235708,1.1102230246251565e-16
9,511,0.02,3.913894324853229e-05,0.18,True,0.196578245270711,0.19661738421395952,"[0.5530860657913549, 0.5530860657913549, 0.5530860657913549, 0.5530860657913549, 0.5530860657913549, 0.5530860657913549, 0.5530860657913549, 0.5530860657913549, 0.5530860657913549]","[0.5531040244053564, 0.5534010472322383, 0.5529617801896409, 0.552822781038698, 0.5525544465354852, 0.5520559536009403, 0.5512081352528102, 0.5500852471114379, 0.55]",0.0,0.00369807005912004,1.1102230246251565e-16
9,511,0.05,9.784735812133073e-05,0.18,True,0.19655811317677754,0.19665596053489887,"[0.5573926077047556, 0.5573926077047556, 0.5573926077047556, 0.5573926077047556, 0.5573926077047556, 0.5573926077047556, 0.5573926077047556, 0.5573926077047556, 0.5573926077047556]","[0.5574378572817719, 0.5581866565779813, 0.55707964217954, 0.5567300334966298, 0.5560564036872344, 0.5548099478693233, 0.5527089560348063, 0.55, 0.5501725961153012]",0.0,0.009108051989491828,1.1102230246251565e-16
