model,estimator,theta,path_index,levels,maximum_depth,physical_depth_budget,trials,bias,median_absolute_error,rmse,q90_absolute_error,branch_failure_rate,tail_rmse_slope,tail_rmse_slope_r_squared
gate,global_mle_oracle,0.173,0,6,63,15360,512,0.00020369283578308695,0.001567844627179238,0.004554681895577348,0.003570152362493554,0.00390625,-0.5038850389319477,0.5999284626632961
gate,global_mle_oracle,0.173,0,7,127,31616,512,0.000746388433540246,0.0013822535703783,0.006866405733126289,0.00396417777751068,0.01171875,-0.5038850389319477,0.5999284626632961
gate,global_mle_oracle,0.173,0,8,255,64256,512,0.0002451752165136545,0.0015329296140112747,0.002106423072511015,0.0031138620871447127,0.033203125,-0.5038850389319477,0.5999284626632961
gate,global_mle_oracle,0.173,0,9,511,129664,512,6.273104796666873e-05,0.001191370303273459,0.0020405623752247698,0.0032406869160723217,0.3125,-0.5038850389319477,0.5999284626632961
gate,global_mle_oracle,0.173,1,3,7,1408,512,0.00038382489565286226,0.005156178704194089,0.007620621908828351,0.012002288394863662,0.0,-0.46717004863730965,0.7755102468366334
gate,global_mle_oracle,0.173,1,4,15,3328,512,0.0001662052950629489,0.0026648343214250303,0.005063449265404059,0.006192620704501939,0.001953125,-0.46717004863730965,0.7755102468366334
gate,global_mle_oracle,0.173,1,5,31,7296,512,-7.70698271703174e-05,0.0014786702847051775,0.002169588433877556,0.0035081149896197625,0.0,-0.46717004863730965,0.7755102468366334
gate,global_mle_oracle,0.173,1,6,63,15360,512,0.00023828826018809646,0.0014450213412581098,0.00451908980212685,0.0036829298582377527,0.00390625,-0.46717004863730965,0.7755102468366334
gate,global_mle_oracle,0.173,1,7,127,31616,512,0.00026473096800783136,0.0014589958009981197,0.005143106640263377,0.0038951841458657577,0.005859375,-0.46717004863730965,0.7755102468366334
gate,global_mle_oracle,0.173,1,8,255,64256,512,8.889534419109779e-05,0.0015659187770324656,0.0022220200212674803,0.003570484405304558,0.0390625,-0.46717004863730965,0.7755102468366334
gate,global_mle_oracle,0.173,1,9,511,129664,512,-2.9257868543547394e-05,0.0012356984883296201,0.0019727368542540387,0.0032406869160723217,0.291015625,-0.46717004863730965,0.7755102468366334
gate,global_mle_oracle,0.173,2,3,7,1408,512,0.0006132427806560814,0.004427711333788886,0.007015531376833656,0.011531522900777576,0.0,-0.11615922108840786,0.09953153109180946
gate,global_mle_oracle,0.173,2,4,15,3328,512,0.0001950156914505008,0.002342873730423134,0.0050133450764210455,0.00577602542125193,0.001953125,-0.11615922108840786,0.09953153109180946
gate,global_mle_oracle,0.173,2,5,31,7296,512,-0.00011288941023912535,0.0013763784924599037,0.0020574145119901252,0.003562219640721537,0.0,-0.11615922108840786,0.09953153109180946
gate,global_mle_oracle,0.173,2,6,63,15360,512,3.516994404997864e-05,0.0015895497288020977,0.0022827468620127073,0.003822655811706244,0.0,-0.11615922108840786,0.09953153109180946
gate,global_mle_oracle,0.173,2,7,127,31616,512,0.00044678708482959184,0.0013787452846405063,0.004346843474717717,0.003711546856469851,0.00390625,-0.11615922108840786,0.09953153109180946
gate,global_mle_oracle,0.173,2,8,255,64256,512,0.00012984868811521943,0.001537064822810713,0.002192600236423587,0.0034170222319081273,0.037109375,-0.11615922108840786,0.09953153109180946
gate,global_mle_oracle,0.173,2,9,511,129664,512,0.00012419835378935096,0.001402673714532815,0.0021698923326745902,0.0034976289826033876,0.333984375,-0.11615922108840786,0.09953153109180946
gate,global_mle_oracle,0.231,0,3,7,1408,512,-0.0012713005868555671,0.009309321419190261,0.014314401871472971,0.024324401104806187,0.0,-0.521943569567041,0.9357993021381068
gate,global_mle_oracle,0.231,0,4,15,3328,512,-0.002347581132389559,0.00411867039900464,0.01073185325642257,0.011591651324371703,0.0,-0.521943569567041,0.9357993021381068
gate,global_mle_oracle,0.231,0,5,31,7296,512,-9.908005522249463e-05,0.0015206500611025936,0.003358893230029604,0.004116344457180629,0.001953125,-0.521943569567041,0.9357993021381068
gate,global_mle_oracle,0.231,0,6,63,15360,512,-0.0012591961549354436,0.0013712929469436308,0.00820139539012131,0.0034736053172485745,0.025390625,-0.521943569567041,0.9357993021381068
