model,estimator,theta,path_index,levels,maximum_depth,physical_depth_budget,trials,bias,median_absolute_error,rmse,q90_absolute_error,branch_failure_rate,tail_rmse_slope,tail_rmse_slope_r_squared
gate,direct_k1_oracle_visibility,0.173,2,4,15,6656,512,0.00010572318899276789,0.004807416612670257,0.007019752213987401,0.011297717385841816,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,5,31,14592,512,-0.0002515489963442752,0.003209512039401896,0.0048884231954355725,0.008075586752146896,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,6,63,30720,512,-8.278076283435576e-05,0.002392419749326219,0.0033283549240337705,0.005449781395415668,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,7,127,63232,512,2.3486619071866333e-05,0.001653828244048805,0.0023810819204398547,0.00378451429168431,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,8,255,128512,512,-1.5660209929602154e-05,0.0011263454215985902,0.001594392955804852,0.0025113551019242397,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.173,2,9,511,259328,512,7.983986455850633e-06,0.0007283929785855958,0.0011467211167218005,0.001882859774174537,0.0,-0.5060806538517847,0.9984704152920195
gate,direct_k1_oracle_visibility,0.231,0,3,7,2816,512,-0.0005756899499852752,0.007064462744800798,0.010432590364752237,0.017323436150759902,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,4,15,6656,512,-7.241153399448197e-05,0.004472109684934139,0.006961644550628574,0.011210958031892228,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,5,31,14592,512,-0.00018402074424656023,0.003350457475056301,0.004714501225326148,0.007689300276828262,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,6,63,30720,512,-9.795541647458772e-05,0.0019744784168538726,0.002944110854194761,0.004779024431667387,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,7,127,63232,512,8.296979121463766e-05,0.0014862995543641344,0.0022162098259188943,0.0036280371065653,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,8,255,128512,512,-1.7955759408327943e-05,0.001077260995084789,0.0015197290828314316,0.0025470759820066476,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,0,9,511,259328,512,-9.760594326521654e-05,0.0007148942887860721,0.0010811887296190443,0.001808716857251495,0.0,-0.47567867353055693,0.9965734115853043
gate,direct_k1_oracle_visibility,0.231,1,3,7,2816,512,-0.0009565037290295009,0.007551771609199676,0.0107246863463315,0.018140594637017317,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,4,15,6656,512,-0.00038269877527524754,0.004130594367252466,0.006489764802961882,0.010499806303244458,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,5,31,14592,512,8.737752630938456e-05,0.0030326732992205785,0.004732684908413842,0.008005646985463077,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,6,63,30720,512,0.00014476090674245268,0.002212311620575863,0.003238186619790061,0.00519391315023332,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,7,127,63232,512,-5.710280909695942e-05,0.0014098786128303176,0.0021213653327138236,0.003629187643768404,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,8,255,128512,512,-4.17832787830974e-05,0.0009617681934452893,0.0014676320996769461,0.002351017201915856,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,1,9,511,259328,512,-6.370596343541202e-05,0.0006928171823526175,0.0010300441623409709,0.0016786902234368689,0.0,-0.5353242615092692,0.9987327849960963
gate,direct_k1_oracle_visibility,0.231,2,3,7,2816,512,-0.00017658438521547803,0.0067616240225236435,0.010031476670879618,0.016852256144727962,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,4,15,6656,512,-0.0001192829548044283,0.0044703733410172,0.006637393579839863,0.011210958031892228,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,5,31,14592,512,1.7009033584286515e-05,0.002928980321468766,0.004375228576692165,0.007358186045795523,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,6,63,30720,512,0.0002754370038603182,0.002287496521197835,0.0032155620655987534,0.00539012398820829,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,7,127,63232,512,7.880700585027878e-05,0.0013770811940368166,0.002041781421315374,0.0032711646830690454,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,8,255,128512,512,-4.4419089640895804e-05,0.0009528968767708174,0.0014542054129450168,0.002331286565905311,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.231,2,9,511,259328,512,-9.409579040831062e-06,0.0007590509058601064,0.0010954363315771635,0.0017799801567869034,0.0,-0.5025072120657529,0.9897159926434596
gate,direct_k1_oracle_visibility,0.317,0,3,7,2816,512,-0.00016252664967203456,0.006221623709556867,0.010074407836995022,0.016657915040194204,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,0,4,15,6656,512,-0.0009080725888101493,0.004645747119064958,0.006870981351785371,0.010749446880237663,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,0,5,31,14592,512,-0.00015163071536644646,0.002832957764451277,0.004161312524886237,0.006863529438831307,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,0,6,63,30720,512,-6.808179658401858e-05,0.0019694338075662565,0.002833282368231026,0.004456051403903427,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,0,7,127,63232,512,-1.3446323451182796e-05,0.0012410727146113798,0.00196056934508889,0.0031591395880954387,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,0,8,255,128512,512,-7.09200633491891e-05,0.0009594332442463549,0.0014191566185893722,0.002327726716802631,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,0,9,511,259328,512,-3.322454232190797e-05,0.0006441891964553137,0.0010398661553721535,0.0017558464644661822,0.0,-0.4685627375684375,0.9988831241119981
gate,direct_k1_oracle_visibility,0.317,1,3,7,2816,512,-0.00048065770454097656,0.006615196444772764,0.009784873383373152,0.016319294554488162,0.0,-0.506380847939995,0.9969471345661215
gate,direct_k1_oracle_visibility,0.317,1,4,15,6656,512,0.0005648382580903388,0.004157662649455385,0.006357968210478672,0.01045831059287411,0.0,-0.506380847939995,0.9969471345661215
gate,direct_k1_oracle_visibility,0.317,1,5,31,14592,512,-0.00011191898515433563,0.0030247589081036086,0.004452083204735272,0.007175082295881605,0.0,-0.506380847939995,0.9969471345661215
gate,direct_k1_oracle_visibility,0.317,1,6,63,30720,512,-0.00032613979183709896,0.002010768345123648,0.002995299166663811,0.004912285156106033,0.0,-0.506380847939995,0.9969471345661215
gate,direct_k1_oracle_visibility,0.317,1,7,127,63232,512,6.396895080912346e-05,0.0014545802333085223,0.0021209962418316714,0.003543970260531104,0.0,-0.506380847939995,0.9969471345661215
gate,direct_k1_oracle_visibility,0.317,1,8,255,128512,512,6.034787105102524e-05,0.001031918256965414,0.001523220639784778,0.0025554445305049256,0.0,-0.506380847939995,0.9969471345661215
gate,direct_k1_oracle_visibility,0.317,1,9,511,259328,512,1.6726884258744246e-05,0.0006641126492475391,0.001007170138232466,0.001657264155642435,0.0,-0.506380847939995,0.9969471345661215
gate,direct_k1_oracle_visibility,0.317,2,3,7,2816,512,0.0003112436380185435,0.006013888950860191,0.00914331648131553,0.015040976783027182,0.0,-0.510988278529633,0.9986945590418754
gate,direct_k1_oracle_visibility,0.317,2,4,15,6656,512,-1.3919682718077642e-05,0.004413438997433683,0.006449397345928453,0.01122843536622051,0.0,-0.510988278529633,0.9986945590418754
gate,direct_k1_oracle_visibility,0.317,2,5,31,14592,512,0.00025985077832507697,0.002951006471620471,0.004380553154122082,0.007076598101045986,0.0,-0.510988278529633,0.9986945590418754
gate,direct_k1_oracle_visibility,0.317,2,6,63,30720,512,0.00010207376254817158,0.0020821803941787898,0.003026103475924187,0.004967628155195526,0.0,-0.510988278529633,0.9986945590418754
gate,direct_k1_oracle_visibility,0.317,2,7,127,63232,512,-4.046204668978204e-05,0.0014050837004095929,0.002176504982991636,0.0037080726648127506,0.0,-0.510988278529633,0.9986945590418754
gate,direct_k1_oracle_visibility,0.317,2,8,255,128512,512,9.551253475958976e-06,0.0009905426198016098,0.001476218349923203,0.002436831289422026,0.0,-0.510988278529633,0.9986945590418754
gate,direct_k1_oracle_visibility,0.317,2,9,511,259328,512,-1.1433176945352397e-05,0.0007107042245981243,0.001025960985745409,0.001657264155642435,0.0,-0.510988278529633,0.9986945590418754
gate,oracle,0.173,0,3,7,1408,512,0.0002472816443486736,0.0056912396340993154,0.008564309588354174,0.013479727208796088,0.107421875,0.18108234750792582,0.9924252952559888
gate,oracle,0.173,0,4,15,3328,512,0.00025146072031009825,0.0031180984397258804,0.0045596128240567154,0.006828291113890578,0.130859375,0.18108234750792582,0.9924252952559888
gate,oracle,0.173,0,5,31,7296,512,-0.00021568352547990388,0.0018586262877784976,0.002924739014351488,0.004836921716909801,0.103515625,0.18108234750792582,0.9924252952559888
gate,oracle,0.173,0,6,63,15360,512,8.146025967689652e-05,0.0015329251994329607,0.004780652947798419,0.0071850048714573456,0.130859375,0.18108234750792582,0.9924252952559888
gate,oracle,0.173,0,7,127,31616,512,0.0011366414087237153,0.00015865019786262535,0.005587704779233419,0.009489550995409074,0.14453125,0.18108234750792582,0.9924252952559888
gate,oracle,0.173,0,8,255,64256,512,0.0019941220376207824,0.005639582262949,0.006143969388516004,0.011799567858223114,0.126953125,0.18108234750792582,0.9924252952559888
gate,oracle,0.173,0,9,511,129664,512,0.0029244815914875044,0.005289994039342494,0.00711337160030096,0.01143792486828532,0.125,0.18108234750792582,0.9924252952559888
gate,oracle,0.173,1,3,7,1408,512,0.0008094715623361282,0.006582828850681899,0.008815984489030159,0.014475964784800954,0.125,0.2170915817547428,0.854229281358596
gate,oracle,0.173,1,4,15,3328,512,0.00012017129064884058,0.0029573509299758993,0.005479200844874052,0.0068812828762643,0.099609375,0.2170915817547428,0.854229281358596
gate,oracle,0.173,1,5,31,7296,512,-0.00013550981182869348,0.001952609510165071,0.0027840750027524936,0.004712773097352602,0.1015625,0.2170915817547428,0.854229281358596
gate,oracle,0.173,1,6,63,15360,512,0.00021906671197741145,0.0015329251994329607,0.004070668458869618,0.00716115654206026,0.10546875,0.2170915817547428,0.854229281358596
gate,oracle,0.173,1,7,127,31616,512,0.0008481294893977198,0.00015865019786262535,0.00514698338285096,0.008705936773762107,0.125,0.2170915817547428,0.854229281358596
gate,oracle,0.173,1,8,255,64256,512,0.0021084186453455833,0.005639582262949,0.006488039489514748,0.011799567858223114,0.162109375,0.2170915817547428,0.854229281358596
gate,oracle,0.173,1,9,511,129664,512,0.0028164124948850122,0.005289994039342494,0.00629589632621973,0.008363959453813907,0.1171875,0.2170915817547428,0.854229281358596
gate,oracle,0.173,2,3,7,1408,512,0.0008421734629121824,0.005611805458476143,0.008333867805972934,0.012464803130180863,0.095703125,0.32723213732574863,0.7728324762555336
gate,oracle,0.173,2,4,15,3328,512,0.00023158998560424138,0.002922283738462872,0.00518739891172943,0.006288711016962434,0.111328125,0.32723213732574863,0.7728324762555336
gate,oracle,0.173,2,5,31,7296,512,-6.542673972659285e-05,0.0017096146708213966,0.003755434756882804,0.0038847044947997733,0.099609375,0.32723213732574863,0.7728324762555336
gate,oracle,0.173,2,6,63,15360,512,0.0004153091840639056,0.0015329251994329607,0.004465243542376059,0.006548382640987338,0.12109375,0.32723213732574863,0.7728324762555336
gate,oracle,0.173,2,7,127,31616,512,0.0010070176229007854,0.0007330467535659746,0.004104262548930347,0.006985142247178583,0.109375,0.32723213732574863,0.7728324762555336
gate,oracle,0.173,2,8,255,64256,512,0.0023911523591911843,0.005639582262949,0.007446848296112146,0.011799567858223114,0.16796875,0.32723213732574863,0.7728324762555336
gate,oracle,0.173,2,9,511,129664,512,0.00408022054126439,0.005289994039342494,0.00795805722088015,0.01143792486828532,0.1328125,0.32723213732574863,0.7728324762555336
gate,oracle,0.231,0,3,7,1408,512,-0.0026974716385716746,0.006600524743586217,0.016524053682719777,0.028324902231883137,0.013671875,0.008955186449447443,0.006201289748787753
gate,oracle,0.231,0,4,15,3328,512,-0.0039593213376251934,0.004956343393189733,0.013880507391665138,0.016718556584712572,0.009765625,0.008955186449447443,0.006201289748787753
gate,oracle,0.231,0,5,31,7296,512,-0.007356718656531619,0.0026846357314072866,0.02079263995127973,0.05461126675942378,0.013671875,0.008955186449447443,0.006201289748787753
gate,oracle,0.231,0,6,63,15360,512,-0.00609538468427534,0.003239222798512381,0.018165759291779795,0.015644187356265958,0.009765625,0.008955186449447443,0.006201289748787753
gate,oracle,0.231,0,7,127,31616,512,-0.008349407944746978,0.0040010252685278025,0.023271285988621476,0.04953284986966508,0.033203125,0.008955186449447443,0.006201289748787753
gate,oracle,0.231,0,8,255,64256,512,-0.004927325531253884,0.003080532974858191,0.020042747375557876,0.040040446546502795,0.0703125,0.008955186449447443,0.006201289748787753
gate,oracle,0.231,0,9,511,129664,512,-0.003802735909321231,0.005695336914299437,0.019474856779236514,0.03734017888830046,0.044921875,0.008955186449447443,0.006201289748787753
gate,oracle,0.231,1,3,7,1408,512,-0.004288854862854297,0.006600524743586217,0.015070747571185596,0.026897720537763514,0.01171875,0.03526424060651902,0.10235631313237536
gate,oracle,0.231,1,4,15,3328,512,-0.003987614313323312,0.004068749535524829,0.013452555150168658,0.013234853233841687,0.001953125,0.03526424060651902,0.10235631313237536
