model,theta,path_index,path_phase,levels,maximum_depth,target_only_budget,anchored_budget,nuisance_total_variation,minimum_visibility,known_fisher,anchored_efficient_fisher,unanchored_efficient_fisher,stationary_unknown_fisher,anchor_efficiency_fraction,known_local_error,anchored_local_error
gate,0.173,0,0.19,6,63,15360,30720,0.012,0.24040111873361045,217264.79616923394,200096.92335443327,1.4551915228366852e-11,357805.2129875074,0.9209818013893603,0.002145385390031939,0.0022355263563280693
gate,0.173,0,0.19,7,127,31616,63232,0.012,0.06082596852167793,231879.81668216994,213558.8171582866,1.9326762412674725e-12,267840.2090139665,0.920989244402434,0.0020766749575883894,0.0021639202278638464
gate,0.173,0,0.19,8,255,64256,128512,0.012,0.0036835819522181338,254988.49914032914,235718.41683801325,1.7763568394002505e-14,1147278.1303035326,0.9244276413748728,0.001980339744514743,0.0020596965531570984
gate,0.173,0,0.19,9,511,129664,259328,0.012,1.4065432475528337e-05,253308.57742645606,232973.44563747387,1.4210854715202004e-14,20978461.71434398,0.9197218981071174,0.0019868956183698395,0.002071795037888114
gate,0.173,1,0.73,3,7,1408,2816,0.012,0.8627225209494186,18429.280791878984,15433.858837816386,1.1368683772161603e-13,21384.88524590695,0.8374639798541376,0.007366239015065949,0.00804938570503854
gate,0.173,1,0.73,4,15,3328,6656,0.012,0.7417673965132884,75521.82548516957,67038.292403344,9.663381206337363e-13,93682.74092227552,0.8876677963313864,0.003638846706657902,0.003862233515996913
gate,0.173,1,0.73,5,31,7296,14592,0.011999999999999997,0.5279887471249908,205409.3592893137,190554.90185674827,0.0,402957.97892499604,0.9276836387399305,0.0022064286395355945,0.0022908145742745276
gate,0.173,1,0.73,6,63,15360,30720,0.011999999999999993,0.2731389181835914,210686.839491862,192967.15912249236,5.115907697472721e-13,359962.2184761023,0.915895646770789,0.0021786190450490783,0.002276450956702491
gate,0.173,1,0.73,7,127,31616,63232,0.012,0.07447312455389411,221265.27432157853,203533.45839910003,3.9179326449811924e-11,266451.1718771156,0.919861731684531,0.0021259026326582984,0.0022165732814393947
gate,0.173,1,0.73,8,255,64256,128512,0.012000000000000007,0.005461614602417379,240298.62083633154,221640.97951675655,6.185985057527432e-11,1133177.3089824314,0.9223564361100399,0.0020399727252650764,0.002124100052132961
gate,0.173,1,0.73,9,511,129664,259328,0.012,2.9590661280818125e-05,254967.0596289411,235522.95660737177,2.7284841053187847e-12,20834330.16871723,0.9237387643334526,0.0019804230035523392,0.0020605510458078
gate,0.173,2,1.31,3,7,1408,2816,0.012,0.895380906088601,20371.298932378086,17447.841090523332,5.684341886080802e-14,22232.663688387136,0.8564913385464971,0.0070063308111458986,0.007570579970626269
gate,0.173,2,1.31,4,15,3328,6656,0.012,0.7584216761003348,77788.13543659326,69269.28967672105,1.1823431123048067e-11,93951.35012771918,0.8904865669801778,0.0035854470991366592,0.003799527856438617
gate,0.173,2,1.31,5,31,7296,14592,0.011999999999999997,0.5756843667974634,227779.23527825635,212168.77279546057,6.554046194651164e-11,408053.16555150825,0.9314667008003343,0.0020952841836854815,0.0021709972223636154
gate,0.173,2,1.31,6,63,15360,30720,0.012,0.30983597759552034,204959.9979980467,186455.89958847527,2.1032064978498966e-11,360876.4866849124,0.9097184885328318,0.00220884603997108,0.002315858047181534
gate,0.173,2,1.31,7,127,31616,63232,0.012,0.09620709393650895,212943.52576500486,195530.0675263711,2.9118041311448906e-11,264310.92006712704,0.9182249933353198,0.0021670442512125056,0.0022614824660049603
gate,0.173,2,1.31,8,255,64256,128512,0.012000000000000004,0.00872576258852221,220272.60894465333,202196.83012760675,3.107203383478918e-11,1105505.2252808944,0.9179390533228379,0.0021306874711955882,0.0022238875759251877
