trial,pair_budget,best_gap,fraction_of_optimum
43,16,0.002800503986641112,0.26696051058029424
43,64,0.0052692766226550836,0.5022984378108221
43,256,0.01039558608654556,0.9909684052170046
43,1024,0.010407159517744735,0.992071652745605
44,16,0.005240636704953672,0.4995683124158867
44,64,0.005542543705845171,0.5283478633432279
44,256,0.010273114914555515,0.9792937328145405
44,1024,0.01046643871233377,0.9977224942119147
45,16,0.0051629065935147045,0.49215862104026464
45,64,0.0053348200609615315,0.5085464238301041
45,256,0.010280864630625386,0.9800324813286415
45,1024,0.010365133828513673,0.9880655168828708
46,16,0.00039737614288049006,0.03788023102335914
46,64,0.0020997036344293507,0.20015609939797335
46,256,0.010301784582721574,0.982026694198737
46,1024,0.010375683119838497,0.9890711373753854
47,16,0.010268851692868841,0.9788873374501273
47,64,0.010280864630624942,0.9800324813285991
47,256,0.010396582852274516,0.9910634227885561
47,1024,0.010466425136687718,0.9977212001014908
48,16,0.002616113790932739,0.24938335267331793
48,64,0.005253307249388106,0.5007761432305122
48,256,0.005253307249388106,0.5007761432305122
48,1024,0.01017991304806909,0.9704091827539298
49,16,0.00029408513028628125,0.02803392421856925
49,64,0.01027937969541437,0.9798909285709941
49,256,0.01027937969541437,0.9798909285709941
49,1024,0.010391404443693464,0.990569786426892
50,16,0.0009070761259771798,0.08646783110510727
50,64,0.0025388900785328072,0.2420219342323759
50,256,0.005550576078239833,0.5291135563205915
50,1024,0.010279379695413482,0.9798909285709094
51,16,0.010268865268514893,0.9788886315605513
51,64,0.010268865268514893,0.9788886315605513
51,256,0.010268865268514893,0.9788886315605513
51,1024,0.010393330750717023,0.9907534133415462
52,16,0.004980609123326096,0.4747809540377561
52,64,0.004980609123326096,0.4747809540377561
52,256,0.005268518671418421,0.5022261854412129
52,1024,0.010402450326985724,0.9916227449863436
53,16,0.004542044351645624,0.43297438067494776
53,64,0.01030366068819899,0.982205535606763
53,256,0.010367497539801929,0.9882908397445368
53,1024,0.010368897870858262,0.9884243275365784
54,16,0.0008251254368669692,0.07865580944342469
54,64,0.0019507530168574316,0.18595725050936954
54,256,0.010174838556948784,0.9699254524157929
54,1024,0.010375683119838497,0.9890711373753854
55,16,0.0056433856423809825,0.537960709814407
55,64,0.0056433856423809825,0.537960709814407
55,256,0.010172287893473131,0.9696823081721042
55,1024,0.010298554964764839,0.981718828020784
56,16,0.004028163412865604,0.3839882273080553
56,64,0.004028163412865604,0.3839882273080553
56,256,0.010467361180653056,0.997810429317412
56,1024,0.010467361180653056,0.997810429317412
57,16,0.005542543705845615,0.5283478633432702
57,64,0.005542543705845615,0.5283478633432702
57,256,0.005594608287579628,0.5333109654810151
57,1024,0.010397551378970249,0.9911557484493788
58,16,0.0003655229942934879,0.034843801562469454
58,64,0.003981135404864999,0.3795052410001253
58,256,0.01046643871233377,0.9977224942119147
58,1024,0.01046643871233377,0.9977224942119147
59,16,0.005145983076431659,0.4905453718598117
59,64,0.005145983076431659,0.4905453718598117
59,256,0.010179913048068423,0.9704091827538663
59,1024,0.010364621746069447,0.9880167021725822
60,16,0.0009365202560767116,0.08927461875563703
60,64,0.0038246046439730508,0.36458380826924175
60,256,0.005643398355262064,0.5379619216809998
60,1024,0.01046782030072202,0.9978541953426034
61,16,0.010392285159630532,0.9906537414497584
61,64,0.010392285159630532,0.9906537414497584
61,256,0.010392285159630532,0.9906537414497584
61,1024,0.010490330319231855,0.9999999826948882
62,16,0.0018865405673097468,0.1798361421665025
62,64,0.01037654833781676,0.9891536150416705
62,256,0.01037654833781676,0.9891536150416705
62,1024,0.010444822405404564,0.9956619007036718
63,16,0.0002339565853454184,0.022302117681448262
63,64,0.005168950183125021,0.4927347315460179
63,256,0.010397551378970249,0.9911557484493788
63,1024,0.010397551378970249,0.9911557484493788
64,16,0.004241734970922284,0.40434712429810155
64,64,0.010252238255582968,0.9773036468996098
64,256,0.010388507182702122,0.9902936024695678
64,1024,0.010467347374452984,0.9978091132292229
65,16,0.001179832651249435,0.11246858725404667
65,64,0.003287934741736054,0.31342527687714716
65,256,0.005340978090777493,0.5091334434493153
65,1024,0.01038028936435298,0.9895102316931617
66,16,0.004540333972370636,0.4328113372632208
66,64,0.004865387457411829,0.46379734719087656
66,256,0.010466438712333548,0.9977224942118935
66,1024,0.010466438712333548,0.9977224942118935
67,16,0.01025837581460387,0.9778887151222413
67,64,0.01025837581460387,0.9778887151222413
67,256,0.01025837581460387,0.9778887151222413
67,1024,0.01025837581460387,0.9778887151222413
68,16,0.0013397847575673527,0.12771616275285527
68,64,0.005207748210185659,0.4964331876678528
68,256,0.010267416171503396,0.9787504951108569
68,1024,0.010303029831194022,0.9821453986067971
69,16,0.0013269650876529537,0.1264941164204294
69,64,0.0051687037653481704,0.4927112415542743
69,256,0.010389469731476697,0.9903853582797879
69,1024,0.010389469731476697,0.9903853582797879
70,16,0.005091107184011956,0.48531427905337576
70,64,0.005104844940819087,0.4866238428279513
70,256,0.010115444697049725,0.9642636803777517
70,1024,0.01027937969541437,0.9798909285709941
71,16,0.0027512754582045273,0.2622677577225097
71,64,0.005184728792728133,0.4942388414119517
71,256,0.010402450326985946,0.9916227449863647
71,1024,0.010402450326985946,0.9916227449863647
72,16,0.001188228769603894,0.11326895463559333
72,64,0.003304337020388015,0.3149888385447953
