case,qubits,setting,bond,cutoff,schedule,method,ordering,p_bks_exact,p_bks_mps,actual_bks_error,true_tvd,epsilon_mps,certificate_slack_bks,certificate_slack_tvd,number_of_truncations,sum_discarded_weight,max_discarded_weight,max_bond_seen,runtime_seconds,peak_memory_bytes,circuit_sha256,raw_log_path
chesapeake,7,bond128,128,1e-12,MR,prior_matched_random,sorted,0.6640795390180093,0.6640795387702283,2.4778101792577445e-10,5.016836205377152e-10,0.0,-2.4778101792577445e-10,-5.016836205377152e-10,0,0,0.0,8,0.020076799963135272,95834112,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__bond128__prior_matched_random__sorted.mps.log
chesapeake,7,bond128,128,1e-12,MR,prior_matched_random,spectral,0.6640795390180081,0.6640795387390086,2.789994901775117e-10,6.153594433505586e-10,0.0,-2.789994901775117e-10,-6.153594433505586e-10,0,0,0.0,8,0.01897179998923093,95559680,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__bond128__prior_matched_random__spectral.mps.log
chesapeake,7,confirm,128,0.0001,LR,published_lr,sorted,0.7982931304718344,0.7986876857017404,0.0003945552299060573,0.0030541974831094273,0.7895091987429584,0.7891146435130524,0.786455001259849,195,0.005925706246007231,9.96196e-05,8,0.01954830007161945,95879168,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__confirm__published_lr__sorted.mps.log
chesapeake,7,confirm,128,0.0001,LR,published_lr,spectral,0.7982931304718348,0.7985466006487338,0.00025347017689902884,0.003535640522257756,0.6693108115171038,0.6690573413402048,0.6657751709948461,160,0.004538124484,9.88758e-05,8,0.01845200004754588,95690752,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__confirm__published_lr__spectral.mps.log
chesapeake,7,confirm,128,0.0001,MR,prior_matched_random,sorted,0.6640795390180093,0.6626502511927926,0.001429287825216674,0.004997968625784659,0.47564413454702786,0.4742148467218112,0.4706461659212432,87,0.0033853682004702,9.67994e-05,8,0.019543299975339323,95834112,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__confirm__prior_matched_random__sorted.mps.log
chesapeake,7,confirm,128,0.0001,MR,prior_matched_random,spectral,0.6640795390180081,0.6624474254702714,0.0016321135477367354,0.005541124563605981,0.44805143232277667,0.44641931877503993,0.44251030775917066,80,0.00304720358,9.50153e-05,8,0.01877510000485927,95944704,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__confirm__prior_matched_random__spectral.mps.log
chesapeake,7,cutoff1e-4,1024,0.0001,LR,published_lr,sorted,0.7982931304718344,0.7986876857017404,0.0003945552299060573,0.0030541974831094273,0.7895091987429584,0.7891146435130524,0.786455001259849,195,0.005925706246007231,9.96196e-05,8,0.019128800078760833,95838208,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-4__published_lr__sorted.mps.log
chesapeake,7,cutoff1e-4,1024,0.0001,LR,published_lr,spectral,0.7982931304718348,0.7985466006487338,0.00025347017689902884,0.003535640522257756,0.6693108115171038,0.6690573413402048,0.6657751709948461,160,0.004538124484,9.88758e-05,8,0.018318799964617938,95367168,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-4__published_lr__spectral.mps.log
chesapeake,7,cutoff1e-4,1024,0.0001,MR,prior_matched_random,sorted,0.6640795390180093,0.6626502511927926,0.001429287825216674,0.004997968625784659,0.47564413454702786,0.4742148467218112,0.4706461659212432,87,0.0033853682004702,9.67994e-05,8,0.020068000012543052,96182272,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-4__prior_matched_random__sorted.mps.log
chesapeake,7,cutoff1e-4,1024,0.0001,MR,prior_matched_random,spectral,0.6640795390180081,0.6624474254702714,0.0016321135477367354,0.005541124563605981,0.44805143232277667,0.44641931877503993,0.44251030775917066,80,0.00304720358,9.50153e-05,8,0.01817909994861111,95793152,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\results\rankcert_mps\runs\chesapeake__cutoff1e-4__prior_matched_random__spectral.mps.log
