case,qubits,method,schedule,ordering,setting,bond,cutoff,circuit_file,circuit_sha256,bks_projector_rank,native_gate_count,checkpoint_count,p_bks_exact,p_bks_mps,actual_bks_error,observable_telescope_bound,telescope_signed_sum,telescope_identity_error,bound_slack,cancellation_ratio,simulation_seconds
chesapeake,7,published_lr,LR,sorted,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__sorted.qpy,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,1,427,212,0.7982931304718344,0.7986876857017409,0.0003945552299065014,0.006913628081722578,0.0003945552299051691,1.3322676295501878e-15,0.006519072851816077,17.522586339461057,0.018501099955756217
chesapeake,7,published_lr,LR,spectral,cutoff1e-4,1024,0.0001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__spectral.qpy,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,1,427,212,0.7982931304718348,0.7985466006487338,0.00025347017689902884,0.005273492727604134,0.0002534701768963643,2.6645352591003757e-15,0.0050200225507051055,20.805180286376878,0.017777099972590804
chesapeake,7,prior_matched_random,MR,sorted,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__sorted.qpy,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,1,427,212,0.6640795390180093,0.6638252542041263,0.00025428481388301005,0.0022875176531745867,-0.0002542848138816778,1.3322676295501878e-15,0.0020332328392915766,8.99588779307527,0.019272000005003065
chesapeake,7,prior_matched_random,MR,spectral,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__spectral.qpy,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,1,427,212,0.6640795390180081,0.6636589242033899,0.00042061481461819206,0.0017747444256746014,-0.00042061481461819206,0.0,0.0013541296110564094,4.219405413205914,0.01824030000716448
chesapeake,7,published_lr,LR,sorted,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__sorted.qpy,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,1,427,212,0.7982931304718344,0.7980862006421245,0.0002069298297098232,0.0011076068610733625,-0.00020692982971115548,1.3322676295501878e-15,0.0009006770313635393,5.3525722348805616,0.019295300007797778
chesapeake,7,published_lr,LR,spectral,cutoff1e-5,1024,1e-05,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__spectral.qpy,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,1,427,212,0.7982931304718348,0.7980059718068764,0.00028715866495843123,0.0012955976965776106,-0.00028715866496109577,2.6645352591003757e-15,0.0010084390316191794,4.5117833960022065,0.018513200047891587
chesapeake,7,prior_matched_random,MR,sorted,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__sorted.qpy,f1d5e3cdd24d4be91b3e3a91da8105a8a12695da5251a86453a4a67a5d2b9672,1,427,212,0.6640795390180093,0.7206113313018295,0.056531792283820215,0.10099547859690672,0.05653179228382155,1.3322676295501878e-15,0.0444636863130865,1.786525325251581,0.01807740004733205
chesapeake,7,prior_matched_random,MR,spectral,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__prior_matched_random__spectral.qpy,2a8fea151092fa42dbafe5c2ded6d198206a7084ac9539fb5710e0d9724cf265,1,427,212,0.6640795390180081,0.7067611567778522,0.04268161775984414,0.08062657774286075,0.04268161775984414,0.0,0.03794495998301661,1.8890234713342127,0.017437400005292147
chesapeake,7,published_lr,LR,sorted,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__sorted.qpy,02fcc7d04a10b262d867653a6d6b3876bccac57b1e1a22c457357575f111a2e9,1,427,212,0.7982931304718344,0.8292799106578751,0.03098678018604073,0.07236170284382049,0.030986780186039398,1.3322676295501878e-15,0.041374922657779756,2.3352443335309423,0.020820700039621443
chesapeake,7,published_lr,LR,spectral,released,64,0.001,C:\Users\psgpe\Downloads\Taiwan\Quantum_github_stage_20260814\experiments\evoq_mis_full_qoblib\results\cross_case_replication\circuits\chesapeake__published_lr__spectral.qpy,b70b87114143b211075d18dfd2cee48379b8d9984347da8b9dbfa4d75782e677,1,427,212,0.7982931304718348,0.8285608631066143,0.030267732634779443,0.06790976327854181,0.03026773263477678,2.6645352591003757e-15,0.03764203064376237,2.243635626690762,0.017154300003312528
