cohort,geometry,n,target_id,vertices,edges,faces,physical_frequency_width_rad_per_us,normalized_min_gap,raw_spectral_cost,max_abs_flux_rad,median_abs_flux_rad,success,status,message,elapsed_seconds,objective_upper,objective_lower,mip_gap,mip_node_count,achieved_cost,circular_total_variation,constraint_error,gauge_to_raw_ratio_upper,certified_time_width_lower_rho_0p2
heldout,geometry_B,6,0,64,192,240,21.076435056146018,0.0,nan,1.1401312185955252,0.25541897211746456,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,6,1,64,192,240,21.076435056146018,0.0,nan,1.0853188331597723,0.28755858174903515,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,6,2,64,192,240,21.076435056146018,0.0,nan,1.058871511491693,0.2854309419696155,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,6,3,64,192,240,21.076435056146018,0.0,nan,1.082839801812788,0.31785850432831503,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,7,0,128,448,672,21.21433450658363,0.0,nan,1.076018624757554,0.28005058399559346,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,7,1,128,448,672,21.21433450658363,0.0,nan,1.2922378369093572,0.30578536949437995,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,7,2,128,448,672,21.21433450658363,0.0,nan,1.1120809389377642,0.27761613621940023,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,7,3,128,448,672,21.21433450658363,0.0,nan,1.0400249437893863,0.2656904271349515,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,8,0,256,1024,1792,22.53757669408363,0.0,nan,1.2152011345705052,0.2910090795798198,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,8,1,256,1024,1792,22.53757669408363,0.0,nan,1.302208241761599,0.2904455530765351,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,8,2,256,1024,1792,22.53757669408363,0.0,nan,1.1171375517435491,0.274305488688252,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
heldout,geometry_B,8,3,256,1024,1792,22.53757669408363,0.0,nan,1.219776225134668,0.28368870776159494,False,4,exact transition-frequency collision; MILP not defined,0.0,nan,nan,nan,0,nan,nan,nan,nan,nan
