graph_id,depth,snapshot,truth_gap,center,scale,lower,upper,decision,truth_sign,covered
n10_g04_340fc3fb121f,2,primary_1,0.0002893726976090328,0.0003357695951424494,0.002089898034506746,-0.0001962159761985942,0.000867755166483493,0,1,True
n10_g04_340fc3fb121f,2,primary_2,0.00031470917877056783,0.0003357695951424494,0.002089898034506746,-0.0001962159761985942,0.000867755166483493,0,1,True
n10_g04_340fc3fb121f,3,primary_0,5.9030783264155096e-05,7.899038582102608e-05,0.0008718029889075659,-0.00014292791042747153,0.00030090868206952365,0,1,True
n10_g04_340fc3fb121f,3,primary_1,4.265868332632738e-05,7.899038582102608e-05,0.0008718029889075659,-0.00014292791042747153,0.00030090868206952365,0,1,True
n10_g04_340fc3fb121f,3,primary_2,5.8809787080022847e-05,7.899038582102608e-05,0.0008718029889075659,-0.00014292791042747153,0.00030090868206952365,0,1,True
n10_g04_340fc3fb121f,4,primary_0,2.12182322397405e-05,1.6523621214003792e-05,0.0003527163751690275,-7.326067412838759e-05,0.00010630791655639519,0,1,True
n10_g04_340fc3fb121f,4,primary_1,2.1908645211327028e-05,1.6523621214003792e-05,0.0003527163751690275,-7.326067412838759e-05,0.00010630791655639519,0,1,True
n10_g04_340fc3fb121f,4,primary_2,3.2369183168351554e-05,1.6523621214003792e-05,0.0003527163751690275,-7.326067412838759e-05,0.00010630791655639519,0,1,True
n10_g05_9324a8e2000b,2,primary_0,-0.00021941052700635367,0.00011101909245236642,0.0006606029064363209,-5.713801799394502e-05,0.00027917620289867785,0,-1,False
n10_g05_9324a8e2000b,2,primary_1,-0.00017821998561921946,0.00011101909245236642,0.0006606029064363209,-5.713801799394502e-05,0.00027917620289867785,0,-1,False
n10_g05_9324a8e2000b,2,primary_2,-0.00023748114587129453,0.00011101909245236642,0.0006606029064363209,-5.713801799394502e-05,0.00027917620289867785,0,-1,False
n10_g05_9324a8e2000b,3,primary_0,-2.3322690012832616e-05,2.247511198521266e-05,0.0002122088179431869,-3.154284840956725e-05,7.649307237999256e-05,0,-1,True
n10_g05_9324a8e2000b,3,primary_1,-1.2699914273750913e-05,2.247511198521266e-05,0.0002122088179431869,-3.154284840956725e-05,7.649307237999256e-05,0,-1,True
n10_g05_9324a8e2000b,3,primary_2,-1.3521338920311583e-05,2.247511198521266e-05,0.0002122088179431869,-3.154284840956725e-05,7.649307237999256e-05,0,-1,True
n10_g05_9324a8e2000b,4,primary_0,6.701970419375678e-06,7.847746898670781e-06,0.00011836511198078624,-2.228220713940117e-05,3.7977700936742736e-05,0,1,True
n10_g05_9324a8e2000b,4,primary_1,3.987426245104426e-06,7.847746898670781e-06,0.00011836511198078624,-2.228220713940117e-05,3.7977700936742736e-05,0,1,True
n10_g05_9324a8e2000b,4,primary_2,9.096402089968413e-06,7.847746898670781e-06,0.00011836511198078624,-2.228220713940117e-05,3.7977700936742736e-05,0,1,True
n11_g01_2df53633265b,2,primary_0,0.0003091048300892271,0.0002279198855943448,0.002618361090217657,-0.0004385864690495816,0.0008944262402382711,0,1,True
n11_g01_2df53633265b,2,primary_1,0.0002542164104807267,0.0002279198855943448,0.002618361090217657,-0.0004385864690495816,0.0008944262402382711,0,1,True
n11_g01_2df53633265b,2,primary_2,0.0003782560469492171,0.0002279198855943448,0.002618361090217657,-0.0004385864690495816,0.0008944262402382711,0,1,True
n11_g01_2df53633265b,3,primary_0,5.314620852203331e-05,3.780988228528306e-05,0.0009220687368452674,-0.00019690360884545396,0.0002725233734160201,0,1,True
n11_g01_2df53633265b,3,primary_1,3.71826716019832e-05,3.780988228528306e-05,0.0009220687368452674,-0.00019690360884545396,0.0002725233734160201,0,1,True
n11_g01_2df53633265b,3,primary_2,4.206977954074342e-05,3.780988228528306e-05,0.0009220687368452674,-0.00019690360884545396,0.0002725233734160201,0,1,True
n11_g01_2df53633265b,4,primary_0,2.197401407749483e-05,1.5991959833720096e-05,0.00020407476690025066,-3.595546998016717e-05,6.793938964760735e-05,0,1,True
n11_g01_2df53633265b,4,primary_1,2.1721409374286793e-05,1.5991959833720096e-05,0.00020407476690025066,-3.595546998016717e-05,6.793938964760735e-05,0,1,True
n11_g01_2df53633265b,4,primary_2,3.1937720003516554e-05,1.5991959833720096e-05,0.00020407476690025066,-3.595546998016717e-05,6.793938964760735e-05,0,1,True
n11_g04_6c26e4764290,2,primary_0,3.730182716529229e-05,-2.245851824087113e-05,0.0007939625802656374,-0.00022456246298462165,0.00017964542650287938,0,1,True
n11_g04_6c26e4764290,2,primary_1,3.5249262231915626e-05,-2.245851824087113e-05,0.0007939625802656374,-0.00022456246298462165,0.00017964542650287938,0,1,True
n11_g04_6c26e4764290,2,primary_2,4.356236275018327e-05,-2.245851824087113e-05,0.0007939625802656374,-0.00022456246298462165,0.00017964542650287938,0,1,True
n11_g04_6c26e4764290,3,primary_0,-7.256655526839692e-06,-2.0235978300006636e-06,0.0001452872650299137,-3.900661203421196e-05,3.495941637421063e-05,0,-1,True
n11_g04_6c26e4764290,3,primary_1,-8.46664550124463e-06,-2.0235978300006636e-06,0.0001452872650299137,-3.900661203421196e-05,3.495941637421063e-05,0,-1,True
n11_g04_6c26e4764290,3,primary_2,-8.217128313166495e-06,-2.0235978300006636e-06,0.0001452872650299137,-3.900661203421196e-05,3.495941637421063e-05,0,-1,True
