job,model,mode,target_mask,seed,optimization_grid,midpoint_substeps_2,midpoint_substeps_4,midpoint_substeps_8,midpoint_substeps_16,midpoint_substeps_32,midpoint_substeps_64,adaptive_ode_reference,optimization_minus_reference,full_c6_adaptive_ode_transfer
full_c6:gradient_mask:target_10,full_c6,gradient_mask,10,4102,0.9447761178016663,0.9448536099954803,0.07426233266147639,0.03317231256808629,0.032249775882527164,0.031616651179756775,0.0314612717452351,0.031409760542862986,0.9133663572588033,
full_c6:gradient_mask:target_10,full_c6,gradient_mask,10,4103,0.9999697208404541,0.9999238046876999,0.6240056327364685,0.4900059633752589,0.45806714148198613,0.4499837323750571,0.4479637835470712,0.44729097191727074,0.5526787489231834,
full_c6:gradient_mask:target_10,full_c6,gradient_mask,10,4104,0.9998434782028198,0.9998443025522546,0.3514666205126797,0.24720083027476358,0.22572833856368243,0.22045171946913994,0.21912453149412234,0.21868295247056202,0.7811605257322578,
full_c6:gradient_mask:target_10,full_c6,gradient_mask,10,4105,0.99385005235672,0.9938282105051673,0.6756229933130224,0.5673028552157211,0.5435249380416537,0.5380334083140984,0.5365216062745147,0.5360174872202323,0.4578325651364876,
full_c6:gradient_mask:target_5,full_c6,gradient_mask,5,4100,0.9995506405830383,0.9994647192535198,0.8695379497990637,0.807147799272194,0.7926387949986384,0.7885649720211986,0.7875326202823073,0.787187837350925,0.21236280323211332,
full_c6:gradient_mask:target_5,full_c6,gradient_mask,5,4101,0.9998370409011841,0.9997259455774493,0.8627331683820509,0.7339783994271316,0.7225257489236416,0.7198186508525204,0.7187419348397884,0.7183817589903515,0.2814552819108326,
full_c6:gradient_mask:target_5,full_c6,gradient_mask,5,4102,0.9999350309371948,0.9999058113444755,0.5645350875598524,0.4209240274850356,0.3893628967802063,0.38114479364572595,0.37910092051232097,0.3784203442818364,0.6215146866553585,
full_c6:gradient_mask:target_5,full_c6,gradient_mask,5,4103,0.9999750852584839,0.9999166436266956,0.6732338286655029,0.5690666747919781,0.543682488260177,0.5373652299692786,0.5357805307264761,0.5352525896872247,0.4647224955712592,
full_c6:gradient_mask:target_5,full_c6,gradient_mask,5,4104,0.9995858073234558,0.9995304620063016,0.6254947852308042,0.5969142035660118,0.5919680069430904,0.5909650082605877,0.5906378958963787,0.5905282751291099,0.40905753219434593,
full_c6:gradient_mask:target_5,full_c6,gradient_mask,5,4105,1.0000629425048828,0.9999450655111959,0.24277276142282758,0.24153316388979526,0.24277265532264292,0.24283772331990644,0.2428193105337157,0.24281258841186656,0.7572503540930162,
