petal_size,internal_edges,hub_neighbors,leaf_count,signatures,best_time,best_slope,best_r2,k3_difference,screen_records
3,"[[0, 2], [1, 2]]","[0, 2]",2,"['EsAW', 'HsA[?AB', 'KsA[?AB_??OB']",10.0,0.006869066283369327,0.046762810437339764,0.06525292376440879,"{""10.0"": {""absolute_differences"": [0.1811362296150943, 0.11852191999189124, 0.06525292376440879], ""fit"": {""intercept"": 0.4620703911986333, ""r2"": 0.046762810437339764, ""slope"": 0.006869066283369327}, ""log_ratios"": [0.45103392394281405, 0.5116195908437489, 0.4647720565095529]}, ""5.0"": {""absolute_differences"": [0.10330620288189074, 0.06844218653252032, 0.046684294146266625], ""fit"": {""intercept"": 0.16595032056267126, ""r2"": 0.9882869313369192, ""slope"": -0.01691936610588474}, ""log_ratios"": [0.15009440495460005, 0.12998468735527463, 0.11625567274283062]}}"
3,"[[0, 1], [1, 2]]","[0, 1]",2,"['EscG', 'HscKCC@', 'KscKCC@_C?_@']",10.0,0.006869066283368439,0.04676281043733266,0.06525292376440844,"{""10.0"": {""absolute_differences"": [0.18113622961509435, 0.11852191999189032, 0.06525292376440844], ""fit"": {""intercept"": 0.4620703911986336, ""r2"": 0.04676281043733266, ""slope"": 0.006869066283368439}, ""log_ratios"": [0.45103392394281405, 0.5116195908437456, 0.46477205650955117]}, ""5.0"": {""absolute_differences"": [0.1033062028818913, 0.06844218653252004, 0.04668429414626829], ""fit"": {""intercept"": 0.16595032056266956, ""r2"": 0.9882869313368938, ""slope"": -0.016919366105883214}, ""log_ratios"": [0.150094404954601, 0.12998468735527385, 0.11625567274283458]}}"
3,"[[0, 1], [1, 2]]","[1, 2]",2,"['EoeG', 'HoeGCE@', 'KoeGCE@?C?o@']",10.0,0.006869066283367964,0.04676281043732322,0.0652529237644083,"{""10.0"": {""absolute_differences"": [0.18113622961509424, 0.11852191999189052, 0.0652529237644083], ""fit"": {""intercept"": 0.46207039119863413, ""r2"": 0.04676281043732322, ""slope"": 0.006869066283367964}, ""log_ratios"": [0.4510339239428138, 0.5116195908437468, 0.46477205650954995]}, ""5.0"": {""absolute_differences"": [0.10330620288189196, 0.06844218653251943, 0.04668429414626846], ""fit"": {""intercept"": 0.16595032056267023, ""r2"": 0.9882869313368807, ""slope"": -0.016919366105883522}, ""log_ratios"": [0.15009440495460197, 0.1299846873552727, 0.11625567274283498]}}"
3,"[[0, 1], [0, 2]]","[0, 1]",2,"['EscO', 'HscSCCA', 'KscSCCA_C?_A']",10.0,0.006869066283367692,0.04676281043732622,0.06525292376440842,"{""10.0"": {""absolute_differences"": [0.181136229615095, 0.11852191999188957, 0.06525292376440842], ""fit"": {""intercept"": 0.4620703911986344, ""r2"": 0.04676281043732622, ""slope"": 0.006869066283367692}, ""log_ratios"": [0.45103392394281533, 0.5116195908437432, 0.4647720565095509]}, ""5.0"": {""absolute_differences"": [0.10330620288189041, 0.06844218653251993, 0.04668429414626907], ""fit"": {""intercept"": 0.16595032056266626, ""r2"": 0.9882869313368898, ""slope"": -0.01691936610588149}, ""log_ratios"": [0.15009440495459947, 0.12998468735527385, 0.11625567274283656]}}"
3,"[[0, 1], [0, 2]]","[0, 2]",2,"['EsEO', 'HsES?EA', 'KsES?EA_??oA']",10.0,0.006869066283365875,0.04676281043730268,0.06525292376440804,"{""10.0"": {""absolute_differences"": [0.18113622961509512, 0.11852191999188921, 0.06525292376440804], ""fit"": {""intercept"": 0.46207039119863635, ""r2"": 0.04676281043730268, ""slope"": 0.006869066283365875}, ""log_ratios"": [0.4510339239428156, 0.5116195908437412, 0.46477205650954756]}, ""5.0"": {""absolute_differences"": [0.1033062028818913, 0.06844218653251899, 0.0466842941462684], ""fit"": {""intercept"": 0.16595032056266887, ""r2"": 0.9882869313368788, ""slope"": -0.016919366105883148}, ""log_ratios"": [0.150094404954601, 0.1299846873552719, 0.11625567274283477]}}"
3,"[[0, 1], [1, 2]]","[0, 1, 2]",1,"['Dtc', 'GteCKC', 'JteCKE?_K?_']",10.0,0.004429841529500188,0.02098135364150122,0.07377113676697719,"{""10.0"": {""absolute_differences"": [0.2062720652028165, 0.1350286913823937, 0.07377113676697719], ""fit"": {""intercept"": 0.44038424786088887, ""r2"": 0.02098135364150122, ""slope"": 0.004429841529500188}, ""log_ratios"": [0.4273435508443809, 0.48418500801190556, 0.4362032339033814]}, ""5.0"": {""absolute_differences"": [0.1334408649434906, 0.08851600564981094, 0.06009907305126916], ""fit"": {""intercept"": 0.21500816266082548, ""r2"": 0.9908154903309849, ""slope"": -0.022490915221894628}, ""log_ratios"": [0.1937674434104905, 0.16752594027391698, 0.1487856129667013]}}"
3,"[[0, 1], [0, 2]]","[0, 1, 2]",1,"['Dtg', 'GtiCKG', 'JtiCKI?_K@?']",10.0,0.004429841529499831,0.02098135364149656,0.07377113676697697,"{""10.0"": {""absolute_differences"": [0.2062720652028161, 0.13502869138239407, 0.07377113676697697], ""fit"": {""intercept"": 0.44038424786088914, ""r2"": 0.02098135364149656, ""slope"": 0.004429841529499831}, ""log_ratios"": [0.4273435508443799, 0.4841850080119072, 0.4362032339033797]}, ""5.0"": {""absolute_differences"": [0.13344086494348983, 0.08851600564981066, 0.06009907305126977], ""fit"": {""intercept"": 0.21500816266082304, ""r2"": 0.9908154903309815, ""slope"": -0.022490915221893414}, ""log_ratios"": [0.1937674434104894, 0.1675259402739166, 0.14878561296670265]}}"
3,"[[0, 2], [1, 2]]","[0, 1, 2]",1,"['Dsk', 'GsmCCK', 'JsmCCM?_C@_']",10.0,0.004429841529498218,0.02098135364148268,0.07377113676697666,"{""10.0"": {""absolute_differences"": [0.20627206520281688, 0.13502869138239354, 0.07377113676697666], ""fit"": {""intercept"": 0.4403842478608918, ""r2"": 0.02098135364148268, ""slope"": 0.004429841529498218}, ""log_ratios"": [0.42734355084438136, 0.48418500801190595, 0.43620323390337795]}, ""5.0"": {""absolute_differences"": [0.1334408649434905, 0.08851600564981055, 0.0600990730512696], ""fit"": {""intercept"": 0.21500816266082456, ""r2"": 0.9908154903309799, ""slope"": -0.022490915221894014}, ""log_ratios"": [0.1937674434104905, 0.1675259402739166, 0.14878561296670245]}}"
3,"[[0, 1], [1, 2]]",[2],1,"['D`c', 'G`c?KC', 'J`c?KC??K?_']",10.0,0.0037568959788497804,0.0055275834046035754,0.03008174034404615,"{""10.0"": {""absolute_differences"": [0.08167461026010736, 0.07484347323117208, 0.03008174034404615], ""fit"": {""intercept"": 0.17348617415910406, ""r2"": 0.0055275834046035754, ""slope"": 0.0037568959788497804}, ""log_ratios"": [0.148149483651548, 0.23918713908961514, 0.15566327560924764]}, ""5.0"": {""absolute_differences"": [0.24941701126390037, 0.16213707558555368, 0.11442961439730781], ""fit"": {""intercept"": 0.43950193681840616, ""r2"": 0.9408821302709038, ""slope"": -0.04694182589735386}, ""log_ratios"": [0.39935357258442333, 0.33203136169695646, 0.30546992078971563]}}"
3,"[[0, 1], [0, 2]]",[1],1,"['DdG', 'GdGCGG', 'JdGCGG?_G@?']",10.0,0.0037568959788490263,0.005527583404601466,0.0300817403440459,"{""10.0"": {""absolute_differences"": [0.08167461026010736, 0.07484347323117169, 0.0300817403440459], ""fit"": {""intercept"": 0.17348617415910458, ""r2"": 0.005527583404601466, ""slope"": 0.0037568959788490263}, ""log_ratios"": [0.148149483651548, 0.23918713908961373, 0.15566327560924612]}, ""5.0"": {""absolute_differences"": [0.24941701126389992, 0.16213707558555318, 0.11442961439730842], ""fit"": {""intercept"": 0.4395019368184043, ""r2"": 0.9408821302708954, ""slope"": -0.046941825897352844}, ""log_ratios"": [0.3993535725844227, 0.3320313616969558, 0.30546992078971713]}}"
