replicate,method,train_aggregate_score,validation_aggregate_score,frozen_test_aggregate_score,params
4,normalized_de,0.4672650468567219,0.24990255043815696,0.24413128812252075,"[1.05, 2.6466409293323006, 2.9878246178384114, 0.9962874159278015, 2.8818874174664852]"
4,unnormalized_de,0.2667829022353985,0.1840767716938655,0.22025242042846535,"[1.2702291933396537, 2.206908685847912, 2.857813491529735, 0.19146900292171293, 5.411148961109564]"
4,normalized_random,0.3801777628794165,0.25233963808143,0.23308734024840652,"[1.408141460613726, 0.8934423577932105, 1.5106581435798554, 0.8563771197485485, 5.91068528100557]"
5,normalized_de,0.3912226396273618,0.33250441983089274,0.3384582627307696,"[3.7893242159976674, 2.358590155629708, 2.783192223738618, 0.7191934163244423, 2.4385864051283104]"
5,unnormalized_de,0.39416363689965767,0.3497606500089254,0.24564451757096434,"[1.05, 2.6290882995227554, 2.974313353724403, 6.283185307179586, 1.309231187743149]"
5,normalized_random,0.23696368809212667,0.13439576946333281,0.2001087797391282,"[3.90971017215613, 2.629344199418297, 2.550511246236634, 0.6068554276927024, 2.2523962076364654]"
6,normalized_de,0.36721256595834606,0.2105505961287168,0.16167191195057445,"[1.05, 0.9484835314207816, 1.4976510338726987, 0.7339216734903022, 2.443489158223266]"
6,unnormalized_de,0.3283628728072633,0.08903335784267849,0.05103683608462144,"[1.6330432589431148, 0.6915510903369855, 0.0, 4.124968125535138, 0.19460291304204236]"
6,normalized_random,0.3146800048793539,0.24690674818007083,0.2508072198872898,"[3.9037072307200047, 0.8677099145220046, 1.4477345865850577, 0.9204409907533154, 4.663936232881649]"
7,normalized_de,0.36539351783882745,0.2705712144082423,0.2613895782233959,"[3.3748094769457246, 2.4499065181731225, 3.141592653589793, 0.8650902650144219, 0.0]"
7,unnormalized_de,0.32388535937817015,0.25084974469447685,0.19781459061096116,"[1.05, 3.0110544304535414, 2.7269331509483727, 6.283185307179586, 0.0]"
7,normalized_random,0.2660533181330287,0.20742308422143446,0.1738393048782796,"[3.532524984569916, 0.8458481980685755, 1.7435396165304313, 0.6003750902423611, 3.998820036807939]"
8,normalized_de,0.4112430038351421,0.2817640096796613,0.26032959906044423,"[2.2614100167274462, 2.4023918013133905, 2.6179407873507117, 0.13076100038825686, 0.896469135728462]"
8,unnormalized_de,0.3840554760892582,0.30802291503348744,0.2667257270547013,"[1.0524467624194116, 2.58512665905409, 2.8861143936691995, 6.1165716381017585, 6.283185307179586]"
8,normalized_random,0.3106541212384476,0.19840091172981558,0.1878881666079831,"[3.083635071899132, 2.3030225166089524, 0.12196100393089256, 0.8691405673957043, 1.3710467232085115]"
9,normalized_de,0.5107884174981179,0.32715393792570313,0.31698131388938,"[1.9690861816853942, 2.429169571985075, 3.0458159206431894, 0.6599543218178855, 6.283185307179586]"
9,unnormalized_de,0.30170071470380316,0.19278279681545857,0.1902998917057852,"[1.05, 1.17076133588542, 1.701053030083753, 6.283185307179586, 6.283185307179586]"
9,normalized_random,0.45779924704744973,0.3605793812442574,0.3422534584881048,"[2.1375060232926404, 2.4778841110694563, 3.0297162571313447, 0.8557076897230182, 4.946183286495578]"
10,normalized_de,0.38960590828489144,0.26602613111442275,0.27508441204229495,"[3.8023208930566543, 3.141592653589793, 2.5459555983124935, 0.09092350562844387, 0.8326881449963676]"
10,unnormalized_de,0.20596384700375014,0.03646688476233686,0.026277032561243474,"[3.846368744682262, 1.503913220439066, 2.187538609333495, 4.730351596986173, 0.0]"
10,normalized_random,0.30200752264170705,0.21416893664484646,0.2080457330107658,"[1.4631311372099374, 2.631679245821507, 2.522232098910927, 0.16704345876742796, 1.2586756372993508]"
11,normalized_de,0.3744575707352093,0.26361949616710123,0.2399923246335087,"[3.9625690423472903, 0.6327907960737112, 1.8141481589045205, 0.6408765525700411, 0.14911760510896174]"
11,unnormalized_de,0.2752816678203315,0.19426798617242974,0.23420141533415734,"[2.4019244574673575, 2.711568258807788, 3.0207865206228153, 5.26825872702314, 4.74458628252303]"
11,normalized_random,0.23193183889884605,0.10874858269407979,0.12363219301188315,"[1.0999505087361416, 0.7020550179042946, 1.3908841666808744, 1.2561028517216195, 2.570576322017047]"
