method,replicate,evaluation,params,score,approximation_ratio_unconditional,optimal_probability,feasible_probability,expected_feasible_size_unconditional,expected_size_given_feasible
random_search,1,178,"[2.0149548492122547, 2.831489082910576, 1.989213703995452, 2.8203633564955854, 2.995983944354173]",0.01375859873021572,0.011356270675514096,0.002873570144165378,0.016839355186602786,0.045425082702056384,2.6975547578090224
random_search,1,179,"[1.9433420004731712, 1.3563080802156477, 1.5920856358952165, 3.4327854521015797, 0.656472328512645]",0.00020907053913292703,0.00016966435808030684,1.0932411579084009e-05,0.00036673078157849166,0.0006786574323212274,1.850560319480501
random_search,1,180,"[3.805853251218882, 1.6243751802230249, 2.8467162963756603, 3.1452808341594327, 5.202174703731285]",0.00028516219731626824,0.0002229202131351,0.000145339623748897,0.0002590707824394402,0.0008916808525404,3.4418425889026576
random_search,1,181,"[2.0664744270084165, 2.038630697696133, 0.6144793573091732, 6.1816797940710595, 0.9790604746345185]",0.037212091729609396,0.028594445420690163,0.0003223537974739364,0.08537057859550752,0.11437778168276065,1.3397798581721172
random_search,1,182,"[1.5127484776027271, 2.8966162223581366, 2.475921136060324, 0.45126251095563336, 3.5264262985677552]",0.026704548120333217,0.015605643739241584,0.00029219747241406496,0.11025855012988117,0.062422574956966334,0.5661472501083541
random_search,1,183,"[3.2866391374501944, 2.2615033638846342, 0.6799798859554875, 1.1593500947234794, 3.3642949546142935]",0.00164349173335105,0.001373072402067667,0.0002146545498702011,0.002167556938158325,0.005492289608270668,2.533861746181956
random_search,1,184,"[2.281795705195141, 2.897859501464596, 0.5397632470363263, 3.8144569329400957, 3.162802760916006]",0.001830507296262034,0.0015069351486455267,0.0002372603972741216,0.002642570482979769,0.006027740594582107,2.2810141237123074
random_search,1,185,"[2.580603486076912, 2.1869134565946546, 0.11037295653264349, 5.265613174931864, 3.9259503063606758]",0.00916344500022775,0.007472067867642458,8.968509966972803e-05,0.016689558576678604,0.02988827147056983,1.7908365480878947
random_search,1,186,"[1.8840617930108152, 0.8864133816703211, 0.4621561618993513, 3.108175853576581, 0.2618754996474875]",0.0039320679485657355,0.0032366036414568206,0.0004239980468544927,0.005894647953952913,0.012946414565827282,2.1962998752360607
random_search,1,187,"[1.6878133099434671, 1.8906783898377453, 2.1037628858257937, 0.000578953876440599, 3.779152744290559]",0.00029001989337183113,0.0002388530026536051,1.9612661688133804e-05,0.00046263725296192594,0.0009554120106144204,2.0651428403087304
random_search,1,188,"[3.4404884855771503, 1.9908189743618372, 2.4181315311502396, 4.466543392568076, 1.0597119309698202]",0.0007222777439136285,0.000596031467067832,0.00011037944272786688,0.000986514161638298,0.002384125868271328,2.4167173275161353
random_search,1,189,"[1.1896173718561394, 2.1204223661005965, 3.072905064247406, 2.0512964045787716, 1.4241803620119433]",0.0018301090649218317,0.0015177853631427704,0.00022130932031604882,0.0025699637170004904,0.006071141452571082,2.362345200599547
random_search,1,190,"[1.356450241925053, 2.667785626364188, 1.1352807445841357, 0.8549278304516637, 5.6712312291565725]",0.002701651549604702,0.0022241762530812253,0.0006410948721106535,0.003172015784958132,0.008896705012324901,2.8047480263224256
random_search,1,191,"[1.7196721165693418, 2.781378323177064, 2.3722674503014, 2.7912720900186154, 0.6109393600187916]",0.016859578324161403,0.013278627290591585,0.0008406565041923623,0.03370786907521726,0.05311450916236634,1.575730255859373
random_search,1,192,"[2.330843139921118, 2.556895664984188, 3.111574953392577, 3.601427269171124, 2.23615014799514]",0.0023496577195667744,0.0018928335925245821,0.00043998073797365465,0.003468289425487787,0.007571334370098329,2.1830168827486136
random_search,1,193,"[2.800074392251276, 0.08547516125404062, 0.8683225898860859, 3.7994591629305736, 1.4648485068953927]",0.0016697177634236518,0.0013836123901622463,0.00029647148223194033,0.002119875027034205,0.005534449560648985,2.6107433174454227
random_search,1,194,"[3.0926274705141363, 1.7148525870597724, 0.503057880529147, 0.020476522812180552, 4.512967535823673]",0.02067043546226357,0.016744372379884985,0.004022765445815229,0.02920371720924774,0.06697748951953994,2.293457680049396
random_search,1,195,"[3.599163669235744, 0.6768360126840716, 2.8612550786496764, 0.357678743068653, 0.7188784889770757]",0.007882794284330297,0.0065531102688893604,0.0004637489250456546,0.012137467841795237,0.026212441075557442,2.159630115376717
random_search,1,196,"[2.6040783383442117, 0.6262676619843456, 3.087309159122924, 1.2331833089131423, 2.5090254069165088]",0.0026961285800677338,0.0022322836292137413,0.00023274517686278776,0.004056586566382955,0.008929134516854965,2.2011448223121746
random_search,1,197,"[2.9419372826685826, 0.5573322554824526, 0.9424282306556467, 0.3206964588991314, 5.844215011399906]",0.00523958068887715,0.0042680265700627525,0.00023636641678522613,0.00912462514618091,0.01707210628025101,1.8709926168744038
