estimator,theta,curvature,depth,duration,physical_depth_budget,trials,bias,deterministic_bias,rmse,median_absolute_error,q90_absolute_error,crossover_xi,normalized_absolute_deterministic_bias
amplified_rtr,0.231,1e-09,63,63.0,96768,4096,-9.879530655722555e-06,-1.9845000000000002e-06,0.0005746222890808879,0.00039026058310473455,0.0009450419905498719,0.00025004700000000004,0.00012502350000000002
amplified_rtr,0.231,1e-09,127,127.0,195072,4096,-1.0275160017694325e-05,-8.0645e-06,0.00028643401149056264,0.00019112992683835428,0.00047383890118031513,0.002048383,0.0010241915
amplified_rtr,0.231,1e-09,255,255.0,391680,4096,-3.894630246506463e-05,-3.25125e-05,0.000164005824725702,0.00010883555582978655,0.0002726268366601281,0.016581375000000002,0.0082906875
amplified_rtr,0.231,3e-09,1,1.0,1536,4096,-5.667662948131123e-06,-1.5e-09,0.03766801323536177,0.02527527881854852,0.06172746447179475,3e-09,1.5e-09
amplified_rtr,0.231,3e-09,3,3.0,4608,4096,-0.0002384076639045617,-1.35e-08,0.012840265764586732,0.008786647629110383,0.021206257493536843,8.1e-08,4.05e-08
amplified_rtr,0.231,3e-09,7,7.0,10752,4096,4.005939742594044e-06,-7.35e-08,0.00599505707791777,0.004054269276316982,0.009693033087929515,1.029e-06,5.145e-07
amplified_rtr,0.231,3e-09,15,15.0,23040,4096,7.212053237407929e-05,-3.3749999999999995e-07,0.002465279065012295,0.0016590045608211312,0.004059949093211876,1.0125e-05,5.062499999999999e-06
amplified_rtr,0.231,3e-09,31,31.0,47616,4096,-1.7260565069883274e-05,-1.4415e-06,0.0012568828114995002,0.0008219565522270961,0.002073654045334314,8.9373e-05,4.46865e-05
amplified_rtr,0.231,3e-09,63,63.0,96768,4096,1.6539758874042347e-05,-5.953500000000001e-06,0.0005845711438139943,0.0003940776515236333,0.0009619414432226608,0.000750141,0.00037507050000000003
amplified_rtr,0.231,3e-09,127,127.0,195072,4096,-2.147145337771879e-05,-2.4193499999999998e-05,0.00028125930802937334,0.00019150616797034004,0.0004585628744711717,0.006145149,0.0030725744999999995
amplified_rtr,0.231,3e-09,255,255.0,391680,4096,-9.703464287604418e-05,-9.753750000000002e-05,0.0001869525390213334,0.00012581027951374946,0.000307413567423101,0.049744125,0.024872062500000004
amplified_rtr,0.231,1e-08,1,1.0,1536,4096,-0.0009820381084938569,-5.000000000000001e-09,0.03837793226900611,0.02552244151585842,0.0632606762470522,1e-08,5.000000000000001e-09
amplified_rtr,0.231,1e-08,3,3.0,4608,4096,0.0005918320581407786,-4.499999999999999e-08,0.012947539450918965,0.00878294543780428,0.021471649631962714,2.7e-07,1.3499999999999998e-07
amplified_rtr,0.231,1e-08,7,7.0,10752,4096,-0.0001690921633594783,-2.45e-07,0.005874184683427246,0.0039030780840434987,0.009731255415899032,3.43e-06,1.7149999999999999e-06
amplified_rtr,0.231,1e-08,15,15.0,23040,4096,-5.188683402387183e-06,-1.125e-06,0.002364188340513075,0.0016540242621350676,0.003850262903101545,3.375e-05,1.6875e-05
