case,qubits,setting,method,schedule,ordering,actual_bks_error,true_tvd,epsilon_rigorous,accumulated_angle,p_bks_mps,number_of_truncations,sum_w,sqrt_sum_w,product_trace,rss_angle,sum_w_raw
football,7,confirm,prior_matched_random,MR,spectral,0.00171133580954419,0.00837206324288474,0.4116220532245909,0.42423317490743945,0.883748022460414,74,0.0029336079145000004,0.05416279086697805,0.054123918939763316,0.05413686435538372,0.0029336079145000004
football,7,cutoff1e-4,published_lr,LR,sorted,0.0006899655162426743,0.007860552783679347,0.7402674269820715,0.8334680431084718,0.8634577772877989,163,0.005607336471454378,0.07488215055308159,0.07477841322463541,0.07481293130252516,0.005607336471454378
football,7,cutoff1e-4,published_lr,LR,spectral,0.0003850666040405848,0.007546582451731409,0.6695349528786678,0.7335825211218973,0.8631528783755974,165,0.0044545187489,0.0667421811817684,0.06666878231917582,0.0666932143215317,0.0044545187489
football,7,cutoff1e-4,prior_matched_random,MR,sorted,0.0006135044422113101,0.005328806366010425,0.4454132442151122,0.46163576559363106,0.882650191093082,76,0.0032371577015310503,0.056896025357937356,0.056850850578388915,0.0568658935632651,0.0032371577015310503
football,7,cutoff1e-4,prior_matched_random,MR,spectral,0.00171133580954419,0.00837206324288474,0.4116220532245909,0.42423317490743945,0.883748022460414,74,0.0029336079145000004,0.05416279086697805,0.054123918939763316,0.05413686435538372,0.0029336079145000004
football,7,cutoff1e-5,published_lr,LR,sorted,0.00023472684596703708,0.0020340946418408654,0.18165829386586496,0.18267254132569855,0.8625330849255892,102,0.00038921641890437756,0.01972856859745221,0.01972667720816989,0.01972730759419694,0.00038921641890437756
football,7,cutoff1e-5,published_lr,LR,spectral,9.436504788762345e-05,0.0017730772409994514,0.15765291723891106,0.15831339389483945,0.8626734467236692,94,0.00033360951855000004,0.018264980661090228,0.018263484192261602,0.018263982963035514,0.00033360951855000004
football,7,cutoff1e-5,prior_matched_random,MR,sorted,7.624037575770792e-05,0.0019859207956303936,0.07058251885136069,0.0706412563749581,0.8819604462751129,40,0.00015196344708105002,0.012327345500189813,0.0123268956323298,0.012327045581234335,0.00015196344708105002
football,7,cutoff1e-5,prior_matched_random,MR,spectral,0.00016163627151510873,0.002066840602273653,0.07034578354259502,0.0704039311492523,0.8818750503793547,38,0.00015891016450000003,0.012605957500324996,0.012605477587354794,0.01260563755047611,0.00015891016450000003
football,7,released,published_lr,LR,sorted,0.012883438729898722,0.025147539918522165,1.0,1.5707963267948966,0.875651250501455,294,0.08016640462532736,0.2831367242611374,0.27759165860669033,0.2793931918328869,0.08016640462532736
football,7,released,published_lr,LR,spectral,0.013254676954708722,0.025665586557515926,1.0,1.5707963267948966,0.8760224887262655,234,0.06156726791725001,0.2481275234979989,0.24438742202684446,0.24560990001323846,0.06156726791725001
football,7,released,prior_matched_random,MR,sorted,0.045471881518074575,0.05396215722625784,1.0,1.5707963267948966,0.9275085681689452,217,0.07219475044288105,0.2686908082590118,0.2639498732957231,0.2654941637462101,0.07219475044288105
football,7,released,prior_matched_random,MR,spectral,0.03299674867940516,0.048406721729185684,1.0,1.5707963267948966,0.9150334353302749,169,0.04893904926550001,0.2212217196965524,0.2185722068134062,0.2194417645224627,0.04893904926550001
ibm32,18,bond128,published_lr,LR,sorted,0.0033280723049133876,0.008958927117117352,1.0,1.5707963267948966,0.38041446374115717,1032,0.008743331630362838,0.09350578394068913,0.09330271410032866,0.09337021710236519,0.008743331630362838
ibm32,18,bond128,published_lr,LR,spectral,0.00164567557849582,0.005524647468194853,0.8433616309058342,1.003508832030671,0.3787320670147405,767,0.004332484913819406,0.06582161433616929,0.06575087304682443,0.06577442124996448,0.004332484913819406
ibm32,18,bond128,prior_matched_random,MR,sorted,0.008779569055455766,0.06626203064546055,1.0,1.5707963267948966,0.13974295936356965,845,0.06420301120572086,0.2533831312572344,0.2493837177491287,0.25068977217101857,0.06420301120572086
ibm32,18,bond128,prior_matched_random,MR,spectral,0.004828622617907896,0.043242967373264954,1.0,1.5707963267948966,0.1357920129260221,621,0.03655163901773573,0.19118482946545662,0.18945857660887794,0.1900273460011622,0.03655163901773573
ibm32,18,confirm,published_lr,LR,sorted,0.029666325675701377,0.06063402169974304,1.0,1.5707963267948966,0.40675271711194516,2761,0.16685938472642414,0.408484252727598,0.392029314917707,0.3972236954128772,0.16685938472642414
ibm32,18,confirm,published_lr,LR,spectral,0.022289308537559727,0.050930834193746166,1.0,1.5707963267948966,0.3993756999738044,1988,0.12224683470985352,0.3496381482473752,0.339226115686854,0.3425621908371198,0.12224683470985352
ibm32,18,confirm,prior_matched_random,MR,sorted,0.020884889568915682,0.12474817841118138,1.0,1.5707963267948966,0.15184827987702956,2562,0.1951188758195486,0.4417226231692787,0.4210353827966264,0.427503715144858,0.1951188758195486
ibm32,18,confirm,prior_matched_random,MR,spectral,0.01447668234924357,0.09529711009535762,1.0,1.5707963267948966,0.14544007265735778,1839,0.13710568869625622,0.37027785336994734,0.35794854225703543,0.36187950468504254,0.13710568869625622
ibm32,18,cutoff1e-4,published_lr,LR,sorted,0.029666325675701377,0.06063402169974304,1.0,1.5707963267948966,0.40675271711194516,2761,0.16685938472642414,0.408484252727598,0.392029314917707,0.3972236954128772,0.16685938472642414
ibm32,18,cutoff1e-4,published_lr,LR,spectral,0.022289308537559727,0.050930834193746166,1.0,1.5707963267948966,0.3993756999738044,1988,0.12224683470985352,0.3496381482473752,0.339226115686854,0.3425621908371198,0.12224683470985352
ibm32,18,cutoff1e-4,prior_matched_random,MR,sorted,0.018978542314969482,0.11521372826511246,1.0,1.5707963267948966,0.14994193262308336,2555,0.18292517534794858,0.42769752787215004,0.40887145216274307,0.41478222440443535,0.18292517534794858
ibm32,18,cutoff1e-4,prior_matched_random,MR,spectral,0.014066330129706262,0.09277576707543397,1.0,1.5707963267948966,0.14502972043782048,1837,0.13406981578875624,0.36615545303703484,0.35422579950867106,0.3580331775691019,0.13406981578875624
ibm32,18,cutoff1e-5,published_lr,LR,sorted,0.003755030725736186,0.009924078530154878,1.0,1.5707963267948966,0.38084142216197997,2538,0.017849118286006375,0.13360059238643507,0.13300691168707393,0.13320368664250412,0.017849118286006375
ibm32,18,cutoff1e-5,published_lr,LR,spectral,0.0029438157639820606,0.009463231819924735,1.0,1.5707963267948966,0.38003020720022673,1819,0.013057978651428496,0.11427151286050471,0.11389972074709065,0.11402313905714344,0.013057978651428496
ibm32,18,cutoff1e-5,prior_matched_random,MR,sorted,0.0015308050160395825,0.015098118786706052,1.0,1.5707963267948966,0.13249419532415346,2063,0.015358976190410102,0.12393133659575412,0.1234572492161682,0.12361450976379933,0.015358976190410102
