reduction_index,source,graph6,reduced_graph6,n,leaf,neighbour,coverage,total_time,screen_steps,original_success,reduced_success,absolute_difference
554,atlas,FlfoG,Dlc,7,6,5,1.0,10.0,120,0.5710491847561185,0.7845681192910873,0.21351893453496873
35,atlas,EsCO,CI,6,1,0,1.0,10.0,120,0.2858799258255091,0.49895558787881694,0.21307566205330786
36,atlas,EsCO,CI,6,2,0,1.0,10.0,120,0.2858799258255091,0.49895558787881694,0.21307566205330786
37,atlas,EsCO,Co,6,4,3,1.0,10.0,120,0.2858799258255091,0.49895558787881633,0.21307566205330725
38,atlas,EsCO,Co,6,5,3,1.0,10.0,120,0.2858799258255091,0.49895558787881633,0.21307566205330725
647,unit_disk,Gf_bjk,EY~w,8,4,0,1.0,10.0,120,0.5341632736235162,0.7461099180556992,0.21194664443218292
480,atlas,FPzp?,DEw,7,6,2,1.0,10.0,120,0.29250148677110166,0.5043028756125146,0.21180138884141297
149,atlas,Fk_G_,DpO,7,2,1,1.0,5.0,120,0.29645445110530316,0.508121826018677,0.21166737491337378
150,atlas,Fk_G_,DkC,7,5,4,1.0,5.0,120,0.29645445110530316,0.508121826018677,0.21166737491337378
151,atlas,Fk_G_,DkC,7,6,3,1.0,5.0,120,0.29645445110530316,0.508121826018677,0.21166737491337378
502,atlas,F^eI?,D|c,7,6,1,1.0,5.0,120,0.6405409568314464,0.8520827327036455,0.21154177587219913
624,atlas,Fsmtw,D]{,7,1,0,1.0,10.0,120,0.4943831796470555,0.7058580496123525,0.21147486996529702
415,atlas,Fz@cO,DzW,7,4,6,1.0,5.0,120,0.4464945905555136,0.657630861274325,0.21113627071881141
726,unit_disk,Iep??SCXG,Gep?JK,10,6,7,1.0,5.0,120,0.3652140731658424,0.5762786184347883,0.2110645452689459
540,atlas,F^Mh?,DXc,7,6,2,1.0,10.0,120,0.2933308248095211,0.5043028756125119,0.21097205080299075
333,atlas,FLJK?,Dic,7,6,0,1.0,10.0,120,0.2942561560349088,0.5043028756125116,0.21004671957760285
547,atlas,Fxva?,Dlo,7,6,1,1.0,10.0,120,0.5749327920137015,0.7845681192910865,0.209635327277385
694,unit_disk,HAJ_dYd,F@y|W,9,6,3,1.0,5.0,120,0.5151800974365297,0.7245642559897956,0.20938415855326586
607,atlas,Fl^k?,Dns,7,6,0,1.0,5.0,120,0.5144998151880373,0.7228052713359552,0.20830545614791784
267,atlas,FXAgg,DDS,7,1,2,1.0,10.0,120,0.3075925149027109,0.5157443594477862,0.2081518445450753
268,atlas,FXAgg,DXC,7,4,5,1.0,10.0,120,0.3075925149027109,0.5157443594477862,0.2081518445450753
79,atlas,E`Xg,Ct,6,0,1,1.0,5.0,120,0.6675189929713505,0.8749708955141827,0.2074519025428322
