rank,graph6,leaf,coverage,epsilon_from_endpoint,omega,original_gap,reduced_gap,gap_distortion,original_asymptotic_power,reduced_asymptotic_power
3,Fr@sO,4,0.75,0.02,0.20000000000000018,4.9383254372870056e-05,0.004963449441905077,100.50875554754596,3.99501519921116,1.9970514996705173
3,Fr@sO,4,0.75,0.01,0.10000000000000009,3.1152670425527162e-06,0.0012476713103044546,400.50220198204454,3.99501519921116,1.9970514996705173
3,Fr@sO,4,0.75,0.005,0.050000000000000044,1.951600427929634e-07,0.0003123537518359143,1600.5005295437268,3.99501519921116,1.9970514996705173
3,Fr@sO,4,0.75,0.002,0.020000000000000018,4.999374247915966e-09,4.999625096946403e-05,10000.501760856454,3.99501519921116,1.9970514996705173
4,EYOw,0,0.6666666666666666,0.08,0.7999999999999996,0.07203848223516207,0.010634065500178203,6.77431244277693,1.9970137645077115,3.995005878750735
4,EYOw,0,0.6666666666666666,0.04,0.40000000000000036,0.019428771435886283,0.0007617529454844174,25.505344680395098,1.9970137645077115,3.995005878750735
4,EYOw,0,0.6666666666666666,0.02,0.20000000000000018,0.004962963802160658,4.938209891758305e-05,100.50127295001508,1.9970137645077115,3.995005878750735
4,EYOw,0,0.6666666666666666,0.01,0.10000000000000009,0.0012476635547375992,3.115262362740623e-06,400.50031408589894,1.9970137645077115,3.995005878750735
4,EYOw,0,0.6666666666666666,0.005,0.050000000000000044,0.0003123536299902696,1.9516002147668132e-07,1600.500080020698,1.9970137645077115,3.995005878750735
4,EYOw,0,0.6666666666666666,0.002,0.020000000000000018,4.999625047030776e-05,4.999377800629645e-09,10000.494554344541,1.9970137645077115,3.995005878750735
5,EBy?,5,0.6666666666666666,0.08,0.7999999999999996,0.07201082065921671,0.010634065500178203,6.771711219759741,1.9970126092460077,3.9950061003223203
5,EBy?,5,0.6666666666666666,0.04,0.40000000000000036,0.01942795373612416,0.0007617529454808647,25.504271235682662,1.9970126092460077,3.9950061003223203
5,EBy?,5,0.6666666666666666,0.02,0.20000000000000018,0.004962948940129053,4.938209891847123e-05,100.5009719883064,1.9970126092460077,3.9950061003223203
5,EBy?,5,0.6666666666666666,0.01,0.10000000000000009,0.001247663313630909,3.115262362740623e-06,400.50023669059095,1.9970126092460077,3.9950061003223203
5,EBy?,5,0.6666666666666666,0.005,0.050000000000000044,0.0003123536261870896,1.9516002147668132e-07,1600.5000605332027,1.9970126092460077,3.9950061003223203
5,EBy?,5,0.6666666666666666,0.002,0.020000000000000018,4.9996250455208724e-05,4.999375136094386e-09,10000.499881324531,1.9970126092460077,3.9950061003223203
6,FrX{?,6,0.6666666666666666,0.08,0.7999999999999996,0.07204520998253727,0.010839315243443615,6.646656948751012,1.997013770709629,3.9955070829247417
6,FrX{?,6,0.6666666666666666,0.04,0.40000000000000036,0.019428794003832017,0.0007655384445071078,25.379253182171997,1.997013770709629,3.9955070829247417
6,FrX{?,6,0.6666666666666666,0.02,0.20000000000000018,0.00496296388310391,4.9443744921440214e-05,100.37597052952654,1.997013770709629,3.9955070829247417
6,FrX{?,6,0.6666666666666666,0.01,0.10000000000000009,0.0012476635550466852,3.116235575362225e-06,400.37523636243685,1.997013770709629,3.9955070829247417
6,FrX{?,6,0.6666666666666666,0.005,0.050000000000000044,0.00031235362999204597,1.9517527150014757e-07,1600.3750249262996,1.997013770709629,3.9955070829247417
6,FrX{?,6,0.6666666666666666,0.002,0.020000000000000018,4.99962504685314e-05,4.999437308583765e-09,10000.37551879899,1.997013770709629,3.9955070829247417
7,FJS|?,0,0.6666666666666666,0.08,0.7999999999999996,0.07201975452604881,0.010839315243443615,6.644308511057601,1.9970126184158685,3.9955070837763818
7,FJS|?,0,0.6666666666666666,0.04,0.40000000000000036,0.01942798595532569,0.0007655384445062197,25.378197652577647,1.9970126184158685,3.9955070837763818
7,FJS|?,0,0.6666666666666666,0.02,0.20000000000000018,0.004962949059797772,4.944374491877568e-05,100.37567073349152,1.9970126184158685,3.9955070837763818
7,FJS|?,0,0.6666666666666666,0.01,0.10000000000000009,0.0012476633140918736,3.1162355744740466e-06,400.375159154151,1.9970126184158685,3.9955070837763818
7,FJS|?,0,0.6666666666666666,0.005,0.050000000000000044,0.00031235362618975415,1.9517526972379073e-07,1600.3750200104375,1.9970126184158685,3.9955070837763818
7,FJS|?,0,0.6666666666666666,0.002,0.020000000000000018,4.999625045254419e-05,4.999437308583765e-09,10000.375515601188,1.9970126184158685,3.9955070837763818
8,F}BJg,4,0.6666666666666666,0.08,0.7999999999999996,0.0719973417846349,0.01083931524344095,6.642240784370737,1.9970125806052283,3.995507231417873
8,F}BJg,4,0.6666666666666666,0.04,0.40000000000000036,0.01942786897186366,0.0007655384445044433,25.378044840634907,1.9970125806052283,3.995507231417873
8,F}BJg,4,0.6666666666666666,0.02,0.20000000000000018,0.004962948565454539,4.9443744915222965e-05,100.3756607426094,1.9970125806052283,3.995507231417873
8,F}BJg,4,0.6666666666666666,0.01,0.10000000000000009,0.0012476633121201175,3.1162355735858682e-06,400.37515863552795,1.9970125806052283,3.995507231417873
8,F}BJg,4,0.6666666666666666,0.005,0.050000000000000044,0.00031235362617820783,1.9517526972379073e-07,1600.3750199512788,1.9970125806052283,3.995507231417873
8,F}BJg,4,0.6666666666666666,0.002,0.020000000000000018,4.9996250454320545e-05,4.999435532226926e-09,10000.379069204728,1.9970125806052283,3.995507231417873
9,F^Mi?,6,0.6666666666666666,0.08,0.7999999999999996,0.07197000041019752,0.010839315243441838,6.639718358015454,1.9970114253712143,3.9955070842377225
9,F^Mi?,6,0.6666666666666666,0.04,0.40000000000000036,0.019427051673155837,0.0007655384445044433,25.376977227749247,1.9970114253712143,3.9955070842377225
9,F^Mi?,6,0.6666666666666666,0.02,0.20000000000000018,0.004962933703840378,4.9443744914334786e-05,100.3753601681882,1.9970114253712143,3.9955070842377225
9,F^Mi?,6,0.6666666666666666,0.01,0.10000000000000009,0.0012476630710134273,3.116235575362225e-06,400.3750810361638,1.9970114253712143,3.9955070842377225
9,F^Mi?,6,0.6666666666666666,0.005,0.050000000000000044,0.0003123536223768042,1.9517526883561231e-07,1600.3750077571874,1.9970114253712143,3.9955070842377225
9,F^Mi?,6,0.6666666666666666,0.002,0.020000000000000018,4.999625043922151e-05,4.999437308583765e-09,10000.375512936353,1.9970114253712143,3.9955070842377225
10,FhG`?,0,0.5,0.08,0.7999999999999996,0.14891253018889472,2.154059126247832,14.46526443084017,1.998006720697515,0.0019980049599389095
10,FhG`?,0,0.5,0.04,0.40000000000000036,0.039230484541693755,2.0396077695312176,51.99037925120562,1.998006720697515,0.0019980049599389095
10,FhG`?,0,0.5,0.02,0.20000000000000018,0.00995049383620561,2.0099751240721506,201.99752466140998,1.998006720697515,0.0019980049599389095
10,FhG`?,0,0.5,0.01,0.10000000000000009,0.0024968827881721722,2.002498439449475,801.9993765567954,1.998006720697515,0.0019980049599389095
10,FhG`?,0,0.5,0.005,0.050000000000000044,0.0006248048094654735,2.000624902374253,3201.999843896539,1.998006720697515,0.0019980049599389095
10,FhG`?,0,0.5,0.002,0.020000000000000018,9.999500049850951e-05,2.000099997500125,20001.99997528814,1.998006720697515,0.0019980049599389095
11,EhP?,3,0.5,0.08,0.7999999999999996,0.14891255629092726,2.1537770269698697,14.463367499796874,1.9980067207056424,0.0019979876235344586
11,EhP?,3,0.5,0.04,0.40000000000000036,0.039230484583455905,2.0396022398540996,51.990238242283425,1.9980067207056424,0.0019979876235344586
11,EhP?,3,0.5,0.02,0.20000000000000018,0.009950493836250018,2.009975032245058,201.99751543211298,1.9980067207056424,0.0019979876235344586
11,EhP?,3,0.5,0.01,0.10000000000000009,0.002496882788175725,2.0024984379922284,801.9993759720278,1.9980067207056424,0.0019979876235344586
11,EhP?,3,0.5,0.005,0.050000000000000044,0.0006248048094725789,2.0006249023513965,3201.9998438235434,1.9980067207056424,0.0019979876235344586
11,EhP?,3,0.5,0.002,0.020000000000000018,9.999500049673316e-05,2.000099997500029,20001.999975642506,1.9980067207056424,0.0019979876235344586
