source,graph_index,graph6,n,m,leaf,neighbour,neighbour_degree,sibling_leaf_count,reduced_graph6,reduced_n,reduced_m,alpha,reduced_alpha_plus_offset,optimum_count,lifted_optimum_count,lifted_optimum_coverage,endpoint_projector_obstruction,initial_projector_distance,original_minimum_gap,original_minimum_gap_s,reduced_minimum_gap,reduced_minimum_gap_s,native_gap_distortion,scale_controls
atlas,74,Fk_G_,7,6,2,1,2,1,DpO,5,4,4,4,1,1,1.0,False,1.0,0.4309978000702608,0.5800000000000001,0.5602245440237708,0.56,1.2998315627885886,"[{""gap_distortion"": 1.2998315627885886, ""minimum_gap"": 0.5602245440237708, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.0}, {""gap_distortion"": 1.5402132219482745, ""minimum_gap"": 0.6638285102988346, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.8192034388878853, ""minimum_gap"": 0.7840726800409317, ""minimum_gap_s"": 0.5800000000000001, ""omega_scale"": 1.4}]"
atlas,74,Fk_G_,7,6,5,4,2,1,DkC,5,4,4,4,1,1,1.0,False,1.0,0.4309978000702608,0.5800000000000001,0.5602245440237703,0.56,1.2998315627885877,"[{""gap_distortion"": 1.2998315627885877, ""minimum_gap"": 0.5602245440237703, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.0}, {""gap_distortion"": 1.540213221948276, ""minimum_gap"": 0.6638285102988353, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.8192034388878873, ""minimum_gap"": 0.7840726800409326, ""minimum_gap_s"": 0.5800000000000001, ""omega_scale"": 1.4}]"
atlas,74,Fk_G_,7,6,6,3,2,1,DkC,5,4,4,4,1,1,1.0,False,1.0,0.4309978000702608,0.5800000000000001,0.5602245440237703,0.56,1.2998315627885877,"[{""gap_distortion"": 1.2998315627885877, ""minimum_gap"": 0.5602245440237703, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.0}, {""gap_distortion"": 1.540213221948276, ""minimum_gap"": 0.6638285102988353, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.8192034388878873, ""minimum_gap"": 0.7840726800409326, ""minimum_gap_s"": 0.5800000000000001, ""omega_scale"": 1.4}]"
atlas,75,FhCK?,7,6,5,4,2,1,Dh_,5,4,4,4,1,1,1.0,False,1.0,0.46093958751143527,0.5800000000000001,0.5602245440237708,0.56,1.2153968962578472,"[{""gap_distortion"": 1.2153968962578472, ""minimum_gap"": 0.5602245440237708, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.0}, {""gap_distortion"": 1.4401638051588832, ""minimum_gap"": 0.6638285102988346, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.7010313309691152, ""minimum_gap"": 0.7840726800409317, ""minimum_gap_s"": 0.5800000000000001, ""omega_scale"": 1.4}]"
atlas,75,FhCK?,7,6,6,0,2,1,DhC,5,4,4,4,1,1,1.0,False,1.0,0.46093958751143527,0.5800000000000001,0.5602245440237708,0.56,1.2153968962578472,"[{""gap_distortion"": 1.2153968962578472, ""minimum_gap"": 0.5602245440237708, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.0}, {""gap_distortion"": 1.4401638051588845, ""minimum_gap"": 0.6638285102988353, ""minimum_gap_s"": 0.56, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.7010313309691172, ""minimum_gap"": 0.7840726800409326, ""minimum_gap_s"": 0.5800000000000001, ""omega_scale"": 1.4}]"
atlas,76,FsaC_,7,7,1,0,6,4,D?O,5,1,5,5,2,2,1.0,False,1.0,0.009950493836203833,0.98,0.009950493836203833,0.98,1.0,"[{""gap_distortion"": 1.0, ""minimum_gap"": 0.009950493836203833, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.3972521042465031, ""minimum_gap"": 0.013903348450927666, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.950817246812891, ""minimum_gap"": 0.019411594989971803, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,76,FsaC_,7,7,2,0,6,4,D?O,5,1,5,5,2,2,1.0,False,1.0,0.009950493836203833,0.98,0.009950493836203833,0.98,1.0,"[{""gap_distortion"": 1.0, ""minimum_gap"": 0.009950493836203833, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.3972521042465031, ""minimum_gap"": 0.013903348450927666, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.950817246812891, ""minimum_gap"": 0.019411594989971803, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,76,FsaC_,7,7,4,0,6,4,D?G,5,1,5,5,2,2,1.0,False,1.0,0.009950493836203833,0.98,0.009950493836207386,0.98,1.000000000000357,"[{""gap_distortion"": 1.000000000000357, ""minimum_gap"": 0.009950493836207386, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.397252104246146, ""minimum_gap"": 0.013903348450924113, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9508172468134266, ""minimum_gap"": 0.019411594989977132, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,76,FsaC_,7,7,5,0,6,4,D?G,5,1,5,5,2,2,1.0,False,1.0,0.009950493836203833,0.98,0.009950493836207386,0.98,1.000000000000357,"[{""gap_distortion"": 1.000000000000357, ""minimum_gap"": 0.009950493836207386, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.0}, {""gap_distortion"": 1.397252104246146, ""minimum_gap"": 0.013903348450924113, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.9508172468134266, ""minimum_gap"": 0.019411594989977132, ""minimum_gap_s"": 0.98, ""omega_scale"": 1.4}]"
atlas,77,FItA?,7,7,0,4,3,1,Ds_,5,4,5,5,1,1,1.0,False,1.0,0.716390026727352,0.54,0.9347560842189926,0.48000000000000004,1.304814485608058,"[{""gap_distortion"": 1.304814485608058, ""minimum_gap"": 0.9347560842189926, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.0}, {""gap_distortion"": 1.5448110693714698, ""minimum_gap"": 1.1066872432757364, ""minimum_gap_s"": 0.48000000000000004, ""omega_scale"": 1.1832159566199232}, {""gap_distortion"": 1.8265939073028972, ""minimum_gap"": 1.3085536580727408, ""minimum_gap_s"": 0.46, ""omega_scale"": 1.4}]"
