candidate_rank,source,graph6,n,leaf,neighbour,total_time,steps,omega_scale,original_success,reduced_success,absolute_success_difference
2,atlas,F^MI?,7,6,1,10.0,240,1.0,0.7076100828147156,0.7864675827860251,0.07885749997130953
2,atlas,F^MI?,7,6,1,10.0,240,1.1832159566199232,0.7076100828147156,0.6879882807819717,0.019621802032743885
2,atlas,F^MI?,7,6,1,10.0,240,1.4,0.7076100828147156,0.7146823680055461,0.007072285190830474
2,atlas,F^MI?,7,6,1,20.0,240,1.0,0.9231672726831155,0.9417958032542175,0.01862853057110203
2,atlas,F^MI?,7,6,1,20.0,240,1.1832159566199232,0.9231672726831155,0.9463116400468632,0.023144367363747698
2,atlas,F^MI?,7,6,1,20.0,240,1.4,0.9231672726831155,0.9200348391767159,0.003132433506399579
2,atlas,F^MI?,7,6,1,40.0,240,1.0,0.9764272382120173,0.9886451735219383,0.01221793530992099
2,atlas,F^MI?,7,6,1,40.0,240,1.1832159566199232,0.9764272382120173,0.9903106045078971,0.013883366295879829
2,atlas,F^MI?,7,6,1,40.0,240,1.4,0.9764272382120173,0.9746594800071271,0.0017677582048901685
3,atlas,Fr@sO,7,4,6,5.0,240,1.0,0.679375834053575,0.8134428369421427,0.13406700288856765
3,atlas,Fr@sO,7,4,6,5.0,240,1.1832159566199232,0.679375834053575,0.8222605578667214,0.14288472381314632
3,atlas,Fr@sO,7,4,6,5.0,240,1.4,0.679375834053575,0.7477798006979524,0.06840396664437731
3,atlas,Fr@sO,7,4,6,10.0,240,1.0,0.7134601754213825,0.786467582786026,0.0730074073646435
3,atlas,Fr@sO,7,4,6,10.0,240,1.1832159566199232,0.7134601754213825,0.6879882807819713,0.02547189463941124
3,atlas,Fr@sO,7,4,6,10.0,240,1.4,0.7134601754213825,0.7146823680055465,0.0012221925841640058
3,atlas,Fr@sO,7,4,6,20.0,240,1.0,0.9215139688396048,0.9417958032542171,0.020281834414612288
3,atlas,Fr@sO,7,4,6,20.0,240,1.1832159566199232,0.9215139688396048,0.9463116400468612,0.0247976712072564
3,atlas,Fr@sO,7,4,6,20.0,240,1.4,0.9215139688396048,0.9200348391767131,0.001479129662891654
3,atlas,Fr@sO,7,4,6,40.0,240,1.0,0.9826258386347347,0.9886451735219394,0.00601933488720463
3,atlas,Fr@sO,7,4,6,40.0,240,1.1832159566199232,0.9826258386347347,0.9903106045078964,0.007684765873161692
3,atlas,Fr@sO,7,4,6,40.0,240,1.4,0.9826258386347347,0.974659480007126,0.00796635862760875
4,atlas,EYOw,6,0,2,5.0,240,1.0,0.7981061745887897,0.8161905760753846,0.018084401486594848
4,atlas,EYOw,6,0,2,5.0,240,1.224744871391589,0.7981061745887897,0.8396692027951077,0.041563028206317965
4,atlas,EYOw,6,0,2,5.0,240,1.5,0.7981061745887897,0.9137962897504218,0.11569011516163208
4,atlas,EYOw,6,0,2,10.0,240,1.0,0.8493391445524834,0.9660091303214083,0.11666998576892496
4,atlas,EYOw,6,0,2,10.0,240,1.224744871391589,0.8493391445524834,0.689149221902179,0.1601899226503044
4,atlas,EYOw,6,0,2,10.0,240,1.5,0.8493391445524834,0.62503339977378,0.22430574477870335
4,atlas,EYOw,6,0,2,20.0,240,1.0,0.9139065697010349,0.9013102647420845,0.012596304958950366
4,atlas,EYOw,6,0,2,20.0,240,1.224744871391589,0.9139065697010349,0.9880453905096083,0.07413882080857337
4,atlas,EYOw,6,0,2,20.0,240,1.5,0.9139065697010349,0.9811180413526549,0.06721147165162
4,atlas,EYOw,6,0,2,40.0,240,1.0,0.9831592100195572,0.9938879269025226,0.010728716882965394
4,atlas,EYOw,6,0,2,40.0,240,1.224744871391589,0.9831592100195572,0.9782077103660677,0.004951499653489511
4,atlas,EYOw,6,0,2,40.0,240,1.5,0.9831592100195572,0.9925149782021532,0.00935576818259598
5,atlas,EBy?,6,5,0,5.0,240,1.0,0.7452878627554584,0.8161905760753846,0.07090271331992615
5,atlas,EBy?,6,5,0,5.0,240,1.224744871391589,0.7452878627554584,0.8396692027951077,0.09438134003964926
5,atlas,EBy?,6,5,0,5.0,240,1.5,0.7452878627554584,0.9137962897504218,0.16850842699496338
5,atlas,EBy?,6,5,0,10.0,240,1.0,0.8359157768233747,0.9660091303214083,0.13009335349803364
5,atlas,EBy?,6,5,0,10.0,240,1.224744871391589,0.8359157768233747,0.689149221902179,0.14676655492119572
5,atlas,EBy?,6,5,0,10.0,240,1.5,0.8359157768233747,0.62503339977378,0.21088237704959467
