shifts,common_shift_reduced,flux_rad,sin_flux,wilson_product_real,wilson_product_imag,edge_geometric_mean_rad_per_us,minimum_edge_rad_per_us,two_bit_leakage_ratio,frobenius_norm
"[-1, 1, -1, -1]",False,-2.104860054760747,-0.8607456020540916,-69.45035773332539,-117.43602395835029,3.4176818466808183,1.5172845198514273,1.5669253891798216,27.215519031834265
"[-1, 1, -1, 0]",False,2.0644839794073175,0.8805913584383835,-15.520587649391768,28.84147605919908,2.392273150120459,0.6220075952483696,2.92469601632783,25.73134036530667
"[-1, 1, -1, 1]",False,-1.5899732930483872,-0.9998161276177747,-11.666663841516481,-608.2940070000816,4.966476101045078,2.3303283152204264,1.7460903395804752,32.817670512589046
"[-1, 1, 0, -1]",False,-2.8859081921413896,-0.25290767771669176,-1827.2462293399885,-477.65289708942873,6.592309680692614,4.744288349609467,0.7926223737048562,24.17495349557222
"[-1, 1, 0, 0]",False,1.415972427510258,0.9880387019001812,17.442230939219638,111.7569174811953,3.2611825850647054,0.782017087375114,2.0136794400492093,22.491015480324734
"[-1, 1, 0, 1]",False,-1.6509233357365622,-0.9967915483821028,-114.98397149807765,-1431.9489643360278,6.156456258510672,4.198701010296317,1.3087708126591107,30.34375385831164
"[-1, 1, 1, -1]",False,3.034061207518119,0.1073243346178985,-5875.366886684253,634.2331324452869,8.767740355741338,5.416838654340258,0.6791045467843796,30.358730159683777
"[-1, 1, 1, 0]",False,1.4591762751831108,0.9937769471692679,100.88899969697502,900.1040278353372,5.4859386528732905,1.5193858079016314,1.2473173259372232,29.035665959843605
"[-1, 1, 1, 1]",False,-0.8725916370765325,-0.765997524704687,1277.0904208310385,-1521.7515143773899,6.676196243959609,3.011776194105811,1.1998461213988976,35.46783780566862
"[0, -1, -1, -1]",True,-2.8601712787426044,-0.2777213889694161,-81.54731871992041,-23.574829205598878,3.035357203720576,1.698702773882079,1.0836410687348426,26.983462904533532
"[0, -1, -1, 0]",True,-2.3353646862118573,-0.7216812172994916,-507.3577328902881,-528.9468772450683,5.2031538047398005,2.7375753215660845,0.39831238872659885,25.485773897283647
"[0, -1, -1, 1]",True,-2.1646699020052798,-0.8287793442710009,-1076.8539052413423,-1594.9129123133282,6.623301329390701,2.2917076965858736,0.3999551173266521,32.62548531472077
"[0, -1, 0, -1]",True,-2.1418921016548196,-0.841309154603302,-67.6853422224839,-105.34427793136922,3.345136422418431,1.806946098605581,1.2763317534553764,23.91340985015068
"[0, -1, 0, 0]",True,0.790561031697863,0.7107480401351906,349.71218364515386,353.3419920132926,4.721933815846364,2.187904563311936,0.6095439706039609,22.209650413376863
"[0, -1, 0, 1]",True,0.7006254370128576,0.6446959218196453,2134.516330811341,1800.1616313052982,7.269242289622001,4.808759229390738,0.26535028762515056,30.135795864088387
"[0, -1, 1, -1]",True,-1.7551682225270824,-0.9830515943338662,-240.42206409774695,-1289.1967476117595,6.017771903944131,3.6486975185952946,1.1306757306731086,30.15087546086676
"[0, -1, 1, 0]",True,-2.645682897089209,-0.4758320118330078,-826.1967458505579,-446.97519843092306,5.5361448218214635,1.3843129135793788,0.9504242449697902,28.818270105608782
"[0, -1, 1, 1]",True,1.4188779707749566,0.9884825831882041,570.6265870842019,3727.1990485694787,7.836161738410623,3.136829613277729,0.4851860063370943,35.29008802422318
"[0, 0, -1, -1]",True,-1.360753337468112,-0.9780219522696543,0.9744474921151497,-4.570849642226418,1.4703207393422302,0.6931335110045803,0.8111670544785633,17.662378646256553
"[0, 0, -1, 0]",True,2.746405313956717,0.3849810958922915,-70.55144246755937,29.429246773610814,2.9568884138598825,1.4594965386289933,0.7660870069320154,15.276682240161534
"[0, 0, -1, 1]",True,3.070487557629929,0.0710451939848965,-465.682124925591,33.168289932472305,4.6483315167484855,2.1352487398936493,0.8400324585397662,25.461238012800212
"[0, 0, 0, -1]",True,1.482777767859348,0.9961288668349545,1.121533868561932,12.709093526423223,1.8899475967207757,1.0520810438455364,1.0783470174997556,12.478121644890543
"[0, 0, 0, 0]",True,1.5705057445696047,0.9999999577809855,0.004599009264414811,15.826876989293615,1.9945678355348668,1.1403416029935836,0.3128659546039558,8.781851775554703
"[0, 0, 0, 1]",True,0.9013522272416065,0.7841667511403017,174.50411166747466,220.51452111443294,4.095030986326304,1.7320350466552108,0.4768327114485024,22.181490966240503
"[0, 0, 1, -1]",True,1.1180097490133225,0.8992315426374932,120.85680752865206,248.42276320055825,4.076899107431747,1.7383046952323933,1.148964339070004,22.201973790185853
"[0, 0, 1, 0]",True,-1.6195971977527486,-0.9988094737973415,-12.63343558356911,-258.6717162127174,4.011590303252198,2.4742708201068138,0.7619687624444867,20.35546710353823
"[0, 0, 1, 1]",True,2.2415791164455077,0.783335324379539,-367.18697725263166,462.726551051608,4.92996887166825,2.296031850686485,0.4948394002485681,28.796573787185565
"[0, 1, -1, -1]",True,1.3415581657253135,0.9738397945839921,34.798615771929676,149.1327275852995,3.517801752341363,0.8564849090771033,0.8140154815939495,19.73048880848138
"[0, 1, -1, 0]",True,-1.7428904174601194,-0.9852283229904797,-18.758623782743754,-107.9239243626765,3.235155872311214,1.5413094785959751,1.345489352173213,17.626956329574778
"[0, 1, -1, 1]",True,0.9521591029311195,0.8146695215178802,288.21684475516054,404.8821515704892,4.721573893409176,3.8349104946700785,1.254347735329311,26.937097288355556
"[0, 1, 0, -1]",True,-2.19390477145494,-0.8120684119111289,-116.7936975433019,-162.52674537489642,3.761257400782064,1.6627512032723428,0.40257021285601285,15.26551960997579
"[0, 1, 0, 0]",True,2.5265901571455123,0.5769605613129992,-5.422225363813493,3.83021230449895,1.6051631458678723,0.687110580759145,1.7804574491972591,12.427931838631995
"[0, 1, 0, 1]",True,-1.8790157114627226,-0.9528752519542313,-46.167944539253575,-145.01563067260867,3.5123249764615503,2.6192669447528747,1.2738034153628164,23.8610794111096
"[0, 1, 1, -1]",True,-3.0971615205048075,-0.04441651575510055,-1819.744815568762,-80.90657100004557,6.532957410383113,4.938071443003394,0.4681182873735931,23.880121636163608
"[0, 1, 1, 0]",True,2.2363626248411053,0.78656721958631,-102.62901070326,130.72713520831905,3.590521033801182,1.2380971940977212,0.9142310907834855,22.17380459418493
"[0, 1, 1, 1]",True,-1.3688112183030334,-0.9796702668727759,53.81871726959383,-262.81551568137627,4.047089123493904,1.833606795720913,1.0533138935366724,30.1093877562911
"[1, -1, -1, -1]",False,2.643556244600276,0.477701402224333,-517.197197415657,281.22887289372704,4.9257894876126755,2.199118255359855,1.4277604056790483,29.49907121968894
"[1, -1, -1, 0]",False,-2.8237670544101467,-0.31250180033274993,-3987.6256880669534,-1311.840915641399,8.049282358119893,6.125854652716642,0.7135626869410487,28.13561095209073
"[1, -1, -1, 1]",False,-2.6257709080255456,-0.49324984184381376,-10144.497733923014,-5752.204519442866,10.391825395725714,8.424750915037244,0.4563806220603484,34.73485604583678
"[1, -1, 0, -1]",False,2.06409717032911,0.8807745922566106,-66.76521850471806,124.1830350697136,3.4458738393446415,2.0137128314564725,2.1300115525463688,26.719638904094992
"[1, -1, 0, 0]",False,-2.1858580437592936,-0.8167378372167287,-337.0750903775806,-477.1190981596317,4.916273453813407,2.575806384400744,1.167564690126746,25.20627905876538
"[1, -1, 0, 1]",False,-1.7434383041082657,-0.9851343517909085,-368.3472209830316,-2112.3505055058126,6.804835482680918,2.2595976474970496,0.623454007075261,32.407624486622744
"[1, -1, 1, -1]",False,-2.0978076401066046,-0.8643140956322997,-302.77752775095234,-520.3173717624564,4.953351899521631,2.728841028124154,1.662429896166318,32.42164745290777
"[1, -1, 1, 0]",False,-1.9258895100097397,-0.9376140951608705,-119.34204345873061,-321.8405157987308,4.304315996103343,0.7976586884920386,1.5393688084898987,31.18622491395469
"[1, -1, 1, 1]",False,0.5565061841291095,0.5282228085645487,2332.7114924828657,1451.1635792937539,7.239770594942114,3.3063216979176167,0.7301853838262753,37.2488690467424
"[1, 0, -1, -1]",False,-0.38971812856558485,-0.37992769457993725,272.7973718938524,-112.04482473555349,4.14402829744256,2.033640634486963,1.154501572147069,21.30839158518734
"[1, 0, -1, 0]",False,2.8458958930010034,0.2914064415202326,-721.7972554876661,219.87927676848778,5.2410860245661155,2.731156897591695,0.7351087284190879,19.376918041082025
"[1, 0, -1, 1]",False,-3.005761517202023,-0.13541383857892045,-3989.4919740944497,-545.2546944469568,7.965886075635724,6.313274691195913,0.4486419168054816,28.11338780098204
"[1, 0, 0, -1]",False,-1.6982810256330674,-0.9918848256050451,-15.226838766011776,-118.79275519299809,3.308127025386171,2.3580152165260886,1.4596687883842643,17.256635022177097
"[1, 0, 0, 0]",False,-2.860171278742605,-0.2777213889694157,-81.54731871992053,-23.57482920559888,3.0353572037205767,1.6987027738820797,1.0836410687348428,14.805703398074556
"[1, 0, 0, 1]",False,-2.3353646862118573,-0.7216812172994916,-507.3577328902884,-528.9468772450682,5.2031538047398005,2.7375753215660854,0.39831238872659935,25.181470846425
"[1, 0, 1, -1]",False,0.6326469610543307,0.5912815088984886,173.13636861201118,126.93954888580572,3.8278125611525495,2.140784541787422,1.5132891643333215,25.199515326371714
"[1, 0, 1, 0]",False,-2.1418921016548196,-0.841309154603302,-67.6853422224838,-105.3442779313691,3.34513642241843,1.80694609860558,1.2763317534553764,23.58883154179474
"[1, 0, 1, 1]",False,0.7905610316978632,0.7107480401351907,349.71218364515363,353.34199201329255,4.721933815846364,2.1879045633119376,0.6095439706039609,31.16617708967152
"[1, 1, -1, -1]",False,-2.7783543478174018,-0.355303100982419,-294.9516534884938,-112.11244563198613,4.21467127326662,1.6768802989615819,0.7137953122303792,23.051683693942017
"[1, 1, -1, 0]",False,-0.6798704552455261,-0.628692288275661,203.73511369535728,-164.70906982392188,4.023183535823389,2.4947797063064296,0.811939533427734,21.279039497794056
"[1, 1, -1, 1]",False,1.964683957033625,0.923424042225513,-293.27821145795133,705.662823177815,5.2577388984503735,2.9518907422130893,0.9331626769433234,29.456665507593954
"[1, 1, 0, -1]",False,1.8944824259820887,0.9480694483860242,-21.460737339935076,63.96922737133704,2.8660432406712526,0.5416914767084401,0.8178843757698869,19.368118686813613
"[1, 1, 0, 0]",False,-1.3607533374681127,-0.9780219522696544,0.9744474921151421,-4.570849642226398,1.4703207393422286,0.6931335110045809,0.8111670544785669,17.22037811111086
"[1, 1, 0, 1]",False,2.746405313956715,0.3849810958922931,-70.55144246755933,29.42924677361094,2.956888413859883,1.4594965386289902,0.7660870069320151,26.67281468400405
"[1, 1, 1, -1]",False,2.3509215551059777,0.7108254619443037,-85.88457460864443,86.7951118247694,3.3241688290315974,1.292728073722156,1.1039253424566082,26.689850914943538
"[1, 1, 1, 0]",False,1.4827777678593523,0.9961288668349548,1.121533868561869,12.709093526423167,1.8899475967207737,1.0520810438455364,1.0783470174997565,25.174700448764824
"[1, 1, 1, 1]",False,1.5705057445696056,0.9999999577809855,0.004599009264398823,15.826876989293613,1.9945678355348668,1.1403416029935851,0.3128659546039538,32.38306908806878
