draw,distance_um,mask_0,mask_1,chi,principal_flux_rad,sin_flux,edge_geometric_mean,two_bit_leakage_ratio,branch_cut_margin_rad
58,9.491698950630827,0.01043272836646054,1.0,0.21320789091240785,1.6073938379066008,0.9993303858340833,1.9233301723844194,0.30586635173496657,0.9918263790630579
59,9.455433569651683,0.009204902437605333,1.0,0.23347013358280194,1.5506293687760377,0.9997966537941197,1.962504944824822,0.30637660416667417,0.9224582670394059
60,9.51959865416325,0.0053377549329647915,0.9907650080737991,0.2270016171237042,1.5251868268581372,0.9989600670511833,1.9507369769179337,0.3019808355006902,1.0195201978635238
61,9.499396216235322,0.0,1.0,0.2372636775884398,1.5593386162760823,0.9999343611529224,1.9854524203915884,0.31722796891059407,0.9490714999942202
62,9.507146489452019,0.009844149951155477,0.9928058946711021,0.22190146649495612,1.5649920083823943,0.9999831549911757,1.9396941631457276,0.2967327105847774,0.9901393972858634
63,9.425642687249578,0.009637628500588937,1.0,0.2249998761204733,1.5358316006685946,0.9993887962352799,1.9328741821738993,0.3088409354213882,0.9178043132161924
64,9.496073902016542,0.009998113025372775,1.0,0.2483183532762474,1.5677589373708325,0.9999953871362897,2.0219451897549896,0.33569164847436167,0.9036249250205803
65,9.409248059281982,0.0,1.0,0.24361300112980117,1.573878002305916,0.9999952516417803,1.9892034001505137,0.32097933552099067,0.94819571791193
66,9.480672575652683,0.002733241793206834,0.9914655872958223,0.24514961397018575,1.5605897988896449,0.9999479138462272,1.9991207839890734,0.2982760284887071,0.9044604326914754
67,9.476316852511063,0.006180824848681716,1.0,0.24776149594934652,1.578881161884802,0.999967317898806,2.014120433488464,0.321162281728735,0.9637044862731163
68,9.509362706343438,0.011447292915810425,0.9777501023156699,0.2410473390570537,1.541465919912331,0.9995698944513854,2.0011995720559863,0.3373437220545162,0.8934526660156559
69,9.461754511931561,0.009702085506642526,0.9992425174925875,0.2235274647385107,1.567870610409358,0.9999957200948686,1.9322804976242656,0.2698974418581072,0.7660986618384298
70,9.487166027187765,0.00014482393239726322,0.9885037664609353,0.2451742808400432,1.5756062819867773,0.9999884321878285,2.0045064285290586,0.3045463978689288,0.9643960640607938
71,9.480059859847039,0.0,0.9925719772786334,0.2770189541212194,1.566091120276715,0.9999889305362328,2.0892139052293586,0.3115300229116848,0.8619249610822166
72,9.468464286158312,0.0022171027430824596,1.0,0.22705518187889825,1.609677903111853,0.9992442067346569,1.95995797267674,0.31218397021383926,0.969846645036426
73,9.463443650079551,0.013476384387979037,0.9945150233452242,0.24484801268792575,1.572871667888757,0.999997846480445,2.0004826258426833,0.31025855847067374,0.890210487262479
74,9.486587014994178,0.0012329778192121728,0.9984692703032563,0.2327981457180224,1.5390002567258712,0.9994945475501862,1.9626387063000377,0.30204255701358595,0.985628480088732
75,9.457051133263127,0.0006331271006483896,0.9882257931435611,0.2148679632261935,1.5928741441036973,0.9997562948907797,1.9277346985472528,0.3303153291756527,0.8796115388312327
76,9.409643837430004,0.0,0.9969358618945563,0.23864867900638928,1.6156640775330573,0.9989936113201947,1.989608022463827,0.33779675382413493,0.8941735623385667
