regime,tau,surrogate_max_gram_error,prefix_max_gram_error,max_error_improvement,surrogate_relative_frobenius_error,prefix_relative_frobenius_error,frobenius_improvement,case_passes
perturbed,2.65,0.006874811481781116,0.061913377174965416,9.005829081865237,0.004423942832116788,0.048607529435847716,10.987377387195975,True
perturbed,2.7,0.0067717978434429695,0.06191337717496543,9.142827149649074,0.004393516620850013,0.047921052498313466,10.907220032103165,True
perturbed,2.75,0.006665206496839306,0.061913377174965395,9.28904111287853,0.004359501292070607,0.04724114048322963,10.836363454956514,True
perturbed,2.8,0.006555202860197452,0.0619133771749652,9.444921613470903,0.004321750055028926,0.04657069761338732,10.775888707213916,True
perturbed,2.85,0.006441902536768921,0.06191337717496548,9.611039102435646,0.0042801719672877405,0.045912797921354234,10.726858236597502,True
perturbed,2.9,0.0063253722262040435,0.06191337717496528,9.788100203570231,0.004234731240556933,0.04527069119113439,10.690333959701439,True
perturbed,2.95,0.006205631562503142,0.061913377174965624,9.97696633314013,0.004185443484170638,0.044647806094228415,10.667401498332632,True
perturbed,3.0,0.006082655904341546,0.061913377174965534,10.17867493224043,0.004132369389517869,0.044047749532108604,10.659199451975356,True
perturbed,3.05,0.005956380101271756,0.06191337717496534,10.394463772005773,0.004075606461692668,0.043474301017445455,10.666952618234353,True
perturbed,3.1,0.005826703252560022,0.061913377174965506,10.625798928023874,0.004015279466794506,0.04293140077143652,10.692008146996974,True
perturbed,3.15,0.005693494463083483,0.06191337717496553,10.874407198673989,0.003951530285735114,0.04242313011505618,10.735873711559847,True
perturbed,3.2,0.005556599582170327,0.06191337717496553,11.142313974472685,0.0038845078502411008,0.041953682725248576,10.80025690323798,True
perturbed,3.25,0.005415848886650961,0.06191337717496558,11.431887866659334,0.0038143587873535586,0.04152732545393152,10.887105217163802,True
perturbed,3.3,0.005271065639399706,0.06191337717496549,11.745893792742919,0.0037412193195958815,0.0411483477076564,10.99864621465206,True
perturbed,3.35,0.005122075420792122,0.061913377174965624,12.087556720394954,0.0036652088649266968,0.04082099888903479,11.137427741065773,True
perturbed,3.4,0.004968716094671774,0.06191337717496587,12.460638924682971,0.00358642566053079,0.04054941411861043,11.306358462929671,True
perturbed,3.45,0.004810848234905082,0.06191337717496579,12.869534467072487,0.0035049446052839023,0.0403375293688222,11.508749470108912,True
perturbed,3.5,0.0046483658058124565,0.06191337717496583,13.319385728538723,0.0034208173855725457,0.04018898819238104,11.748358261355879,True
perturbed,3.55,0.004525416052751391,0.06191337717496549,13.68125636477623,0.00333407482594246,0.040107043315886444,12.029437073161422,True
perturbed,3.6,0.004472582526938239,0.06191337717496572,13.842869707168775,0.0032447312966742965,0.040094457359281445,12.356788187785058,True
perturbed,3.65,0.004413458545357539,0.06191337717496566,14.028312838712749,0.0031527909198614426,0.04015340767666265,12.73582952288739,True
perturbed,3.7,0.004348264092142241,0.061913377174965874,14.238642332430933,0.0030582552467027443,0.040285400646028244,13.172674416061877,True
perturbed,3.75,0.004277178616226913,0.061913377174966075,14.475284464407657,0.002961132031788778,0.04049120055835153,13.674230032185145,True
perturbed,3.8,0.004200336534434821,0.0619133771749658,14.740099196193714,0.002861444702988139,0.040770777535825406,14.24831921205727,True
perturbed,3.85,0.004117823904554016,0.06191337717496595,15.035460138665526,0.002759242114058382,0.04112327770092436,14.903830835069027,True
perturbed,3.9,0.0040296764107241295,0.06191337717496594,15.364354569562115,0.0026546081657562934,0.04154701726469513,15.65090388880743,True
perturbed,3.95,0.0039358788052577184,0.06191337717496594,15.730509052326346,0.002547670883952577,0.042039500508629674,16.501150432510972,True
perturbed,4.0,0.0038363659560222067,0.06191337717496603,16.138548273210578,0.002438610544049988,0.04259746002390868,17.467922513434146,True
perturbed,4.05,0.0037310256584527275,0.06191337717496582,16.59419763964892,0.0023276664247643647,0.04321691624343608,18.566627839644607,True
perturbed,4.1,0.003619703389238311,0.061913377174965666,17.104544355495936,0.002215141757592854,0.04389325239172801,19.815098623496606,True
perturbed,4.15,0.003502209210099154,0.061913377174965964,17.678377692694458,0.0021014064101881826,0.0446213005396124,21.234017524300082,True
perturbed,4.2,0.003378327084168599,0.06191337717496599,18.326637898710974,0.0019868968056708253,0.04539543445964501,22.847404218518733,True
perturbed,4.25,0.0032478269603133593,0.06191337717496601,19.06301595852029,0.0018721125456518358,0.04620966534861624,24.683166327763093,True
perturbed,4.3,0.0031104801396951353,0.06191337717496608,19.90476530772331,0.0017576091937590282,0.04705773709739059,26.773720383623747,True
perturbed,4.35,0.0029660787116140073,0.061913377174966304,20.873814620137242,0.0016439867287478083,0.04793321852260197,29.15669432387191,True
perturbed,4.4,0.00281446031622326,0.06191337717496664,21.998312364925628,0.0015318733620312225,0.0488295907226499,31.875735901499837,True
perturbed,4.45,0.0026555403121942627,0.06191337717496639,23.314794691935067,0.001421904850252282,0.049740328403451384,34.98147460051647,True
perturbed,4.5,0.002489354880408421,0.06191337717496618,24.87125385867371,0.0013147003032480586,0.05065897459025446,38.53271689760619,True
perturbed,4.55,0.00231612121993319,0.06191337717496604,26.731492567022016,0.0012108370665471887,0.05157920858118872,42.59797623165889,True
perturbed,4.6,0.0021363258466101545,0.06191337717496673,28.98124238547629,0.0011108299367603885,0.0524949073081193,47.25737538296352,True
perturbed,4.65,0.001950861193027461,0.06191337717496655,31.736433835605563,0.0010151242829248288,0.053400200466260705,52.6045937078771,True
perturbed,4.7,0.001761248421895071,0.06191337717496631,35.153120028546944,0.0009241193155081943,0.05428951987829718,58.74730564249935,True
perturbed,4.75,0.0015700185298227268,0.06191337717496616,39.43480665922898,0.000838247697476566,0.05515764359535281,65.80112747270003,True
perturbed,4.8,0.0013813864631331927,0.061913377174966706,44.81973642230273,0.0007581517636938294,0.055999735228386575,73.86349001623032,True
perturbed,4.8500000000000005,0.0012024442996628397,0.0619133771749667,51.48960096723561,0.0006850131348512677,0.05681137896813005,82.93472939094099,True
perturbed,4.9,0.001045098295499082,0.061913377174966484,59.24167845417835,0.0006210960339783683,0.05758861070414588,92.72094419162173,True
perturbed,4.95,0.0009281970393214416,0.061913377174966755,66.7028384622176,0.000570489173757575,0.05832794560440569,102.24198510240564,True
