regime,atoms,candidate_index,restart,topology_code,internal_edges,port_blocked,parameters,screen_relative_mse,train_relative_mse,validation_relative_l2_error,validation_max_error,optimizer_evaluations
uniform,4,0,1,0001011100,"[[0, 1], [0, 3], [1, 2]]",[2],"[0.8024086693627153, 0.4186728885520665, 0.3433633704160175, -0.46948992927619937, -0.0014315853214847962]",1.0883625452206911e-05,8.34628983367186e-06,0.0028574450554617035,0.005996097075742187,15222
uniform,4,0,2,0001011100,"[[0, 1], [0, 3], [1, 2]]",[2],"[0.8024132144466432, 0.4186715350328045, 0.3433631207361354, -0.4694972023131121, -0.0014316815058739163]",1.0883625452206911e-05,8.346289836668666e-06,0.0028574441033526916,0.005996159471706117,15222
uniform,4,0,0,0001011100,"[[0, 1], [0, 3], [1, 2]]",[2],"[0.8023906664888889, 0.41868047925508467, 0.34336373496601436, -0.4694475019583424, -0.001431130588994467]",1.0883625452206911e-05,8.346290117702725e-06,0.002857453103337783,0.005995565255393576,15222
uniform,4,1,0,0001010011,"[[0, 1], [0, 3], [1, 2]]",[0],"[0.39157720108003957, 0.8847631846846262, -1.016941431295926, -2.8117998870283083, -0.007518983041160832]",9.439039173410916e-05,9.45712845716662e-05,0.00973226173529577,0.010408122707687097,13906
uniform,4,1,2,0001010011,"[[0, 1], [0, 3], [1, 2]]",[0],"[0.39157724774253744, 0.8847629082308117, -1.016940532925364, -2.811798828948705, -0.0075190309205586114]",9.439039173410916e-05,9.457128457173083e-05,0.009732262825560856,0.010408129071156626,13486
uniform,4,1,1,0001010011,"[[0, 1], [0, 3], [1, 2]]",[0],"[0.391576781112684, 0.8847630987478472, -1.016944581429338, -2.8117961686198125, -0.007519099901591497]",9.439039173410916e-05,9.457128457371754e-05,0.009732262335023148,0.010408138581186725,14186
uniform,4,2,1,0011101010,"[[0, 1], [0, 2], [0, 3], [1, 2]]",[3],"[-0.2207004122311389, -1.123576101367709, 1.3434477605907622, 0.5691059177505089, 0.02260197463970126]",0.00016105665915877053,0.00016154708546553477,0.012728460248578129,0.013673274368845587,15522
uniform,4,2,2,0011101010,"[[0, 1], [0, 2], [0, 3], [1, 2]]",[3],"[-0.22069886053243937, -1.1235740616547398, 1.343446920123561, 0.5691057000453696, 0.022601947300612935]",0.00016105665915877053,0.00016154708546596517,0.012728459725408469,0.01367325592455538,14262
uniform,4,2,0,0011101010,"[[0, 1], [0, 2], [0, 3], [1, 2]]",[3],"[-0.22070151192773002, -1.1235762442710082, 1.3434497362593683, 0.5691062671171352, 0.022601944663561024]",0.00016105665915877053,0.00016154708547714926,0.012728459884274684,0.01367323760522664,15312
uniform,4,3,1,0011011001,"[[0, 2], [0, 3], [1, 2], [1, 3]]",[0],"[0.5994366197872418, 0.7794112461088303, -5.269683250445668, -0.6707499062414142, 0.003474927282387519]",0.00025425300989769136,0.00023277743921237045,0.014987440208569444,0.03766734405710704,12498
uniform,4,3,0,0011011001,"[[0, 2], [0, 3], [1, 2], [1, 3]]",[0],"[0.5994368026195831, 0.7794128523419435, -5.269687255259612, -0.6707511016953007, 0.003475071811477548]",0.00025425300989769136,0.00023277743922570318,0.014987441058718428,0.037667293075737726,12708
uniform,4,3,2,0011011001,"[[0, 2], [0, 3], [1, 2], [1, 3]]",[0],"[0.5994368390411089, 0.7794120273981435, -5.269682153318504, -0.6707510851791063, 0.0034750003750221303]",0.00025425300989769136,0.00023277743923998836,0.014987438340455093,0.03766744608811535,13268
uniform,4,4,2,0001001110,"[[0, 1], [0, 2], [0, 3]]",[1],"[0.629494115806676, 0.1998086328564863, 2.8683924193460206, -3.1627013248701203, -0.01908772243423451]",0.0002560027798760249,0.00023724554199168864,0.01541893954091154,0.016632392057131917,15070
uniform,4,4,1,0001001110,"[[0, 1], [0, 2], [0, 3]]",[1],"[0.629496314771389, 0.1998086027097159, 2.8684219680174863, -3.1626662091751445, -0.01908770667715154]",0.0002560027798760249,0.00023724554199528017,0.01541893823532603,0.01663235550854796,14930
uniform,4,4,0,0001001110,"[[0, 1], [0, 2], [0, 3]]",[1],"[0.6294933667814742, 0.19980831860795512, 2.868391036763692, -3.162717920087975, -0.019087912806762253]",0.0002560027798760249,0.00023724554203838582,0.015418937552183768,0.01663231022741228,15210
perturbed,3,0,2,001110,"[[0, 1], [0, 2]]",[1],"[0.028027302898393724, 0.3968288919961491, 0.6118330698084615, -0.0043141574815039885]",0.00015155687042285655,0.00014741931261482604,0.011991926278814118,0.026448568425446455,12814
perturbed,3,0,3,001110,"[[0, 1], [0, 2]]",[1],"[0.028025563393636155, 0.3968293578571802, 0.6118314545378989, -0.00431417245444754]",0.00015155687042285655,0.00014741931261509205,0.01199192705322708,0.02644851714938566,12598
perturbed,3,0,0,001110,"[[0, 1], [0, 2]]",[1],"[0.02802710241264439, 0.3968287142275213, 0.6118340311371648, -0.004314252536390617]",0.00015155687042285655,0.00014741931261799516,0.011991927948461798,0.026448460877821527,12598
perturbed,3,0,1,001110,"[[0, 1], [0, 2]]",[1],"[0.02802637830091914, 0.3968292933110038, 0.6118319100703187, -0.00431413582593132]",0.00015155687042285655,0.00014741931262044297,0.011991924757966852,0.026448666193588433,12310
perturbed,3,1,1,011111,"[[0, 1], [0, 2], [1, 2]]","[0, 1]","[0.13579488749524948, -5.479255301130174, 0.6341205089745947, -0.06698519263552405]",0.0004097123551070725,0.0004025040768174595,0.019910862476702984,0.03647862532339326,10619
perturbed,3,1,2,011111,"[[0, 1], [0, 2], [1, 2]]","[0, 1]","[0.13579467282158264, -5.479251821053896, 0.634120493104684, -0.06698525240354392]",0.0004097123551070725,0.0004025040768363379,0.019910860393532993,0.03647878466992206,10547
perturbed,3,1,0,011111,"[[0, 1], [0, 2], [1, 2]]","[0, 1]","[0.13579507453025963, -5.479256962244277, 0.6341208107544598, -0.06698515345955491]",0.0004097123551070725,0.00040250407684763143,0.01991086070889519,0.03647876221103388,11051
perturbed,3,1,3,011111,"[[0, 1], [0, 2], [1, 2]]","[0, 1]","[0.1357948721522253, -5.479260019694465, 0.6341207730945326, -0.06698512784489585]",0.0004097123551070725,0.00040250407685566894,0.019910856883662082,0.03647905408496841,10259
perturbed,3,2,1,000011,"[[0, 1]]",[0],"[0.14854681672518355, 0.6539766842275792, -2.4276509658267353, -0.026824932812834712]",0.0004685983669753493,0.00046095224931515043,0.02131710689483734,0.03871349242634371,8836
perturbed,3,2,0,000011,"[[0, 1]]",[0],"[0.14854661632911315, 0.6539766229392128, -0.026817050636624984, -0.026824915906606295]",0.0004685983669753493,0.00046095224931601075,0.021317105501500018,0.03871360017864086,9412
perturbed,3,2,3,000011,"[[0, 1]]",[0],"[0.14854682464874935, 0.6539765795343224, 2.756765454898819, -0.026824927521269526]",0.0004685983669753493,0.0004609522493246769,0.021317108666269066,0.03871335364725694,8548
perturbed,3,2,2,000011,"[[0, 1]]",[0],"[0.14854659302005446, 0.6539764371261825, -5.29846254561873, -0.026825052549335426]",0.0004685983669753493,0.00046095224934040644,0.021317103234106478,0.03871377781023176,8764
perturbed,3,3,0,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.10687267700735514, 5.999999997289484, 0.6181426997033204, -0.027227973808358064]",0.000495778628673141,0.00048696004795624665,0.02191289425037693,0.03959826989271674,12585
perturbed,3,3,3,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.10687268025452168, 5.999999996194985, 0.6181428605170134, -0.027228033497517012]",0.000495778628673141,0.0004869600480085346,0.02191289004019466,0.0395986017353402,13377
perturbed,3,3,1,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.1068723411309005, 5.999999996767444, 0.6181420108416913, -0.02722806691460078]",0.000495778628673141,0.00048696004801593285,0.021912896173696357,0.039598116103245214,13737
perturbed,3,3,2,011011,"[[0, 1], [0, 2], [1, 2]]",[0],"[0.10687240926024533, 5.999999992493118, 0.6181418949688746, -0.027228141445394316]",0.000495778628673141,0.00048696004804533836,0.021912896249597785,0.03959811071159962,13161
perturbed,4,4,1,0001011100,"[[0, 1], [0, 3], [1, 2]]",[2],"[0.1461643007298985, 0.4025594562354793, 0.3706173451410466, 0.6608462812383262, 0.0005343733714817667]",0.00019582515505552374,1.396443102961285e-07,0.00037493916042637083,0.00040110865640551237,15306
perturbed,4,4,2,0001011100,"[[0, 1], [0, 3], [1, 2]]",[2],"[0.8149691876148268, 0.41818760740202476, 0.34100631677523463, -0.47917709393760566, -0.001496551050334638]",0.00019582515505552374,8.486341608427446e-06,0.0028805740154375656,0.006093086645909303,15306
perturbed,4,4,0,0001011100,"[[0, 1], [0, 3], [1, 2]]",[2],"[0.8151531958908466, 0.41816573277560304, 0.34097952316402474, -0.4791949598182786, -0.00150099809205748]",0.00019582515505552374,8.486366664880434e-06,0.0028805726114842986,0.00609343809985905,15318
perturbed,4,0,2,0001010011,"[[0, 1], [0, 3], [1, 2]]",[0],"[0.33272613336981616, 0.07708633913780805, 0.664360085664442, 5.690651015874867, -0.007322084982758437]",0.00013358138125829573,0.0001289768610817067,0.011249739699206096,0.022517359800361902,15258
perturbed,4,0,1,0001010011,"[[0, 1], [0, 3], [1, 2]]",[0],"[0.3327265867942848, 0.077084263242158, 0.6643572609858777, 5.690626705363728, -0.007322080382245133]",0.00013358138125829573,0.00012897686108434222,0.011249741106298373,0.022517258505098406,15258
perturbed,4,0,0,0001010011,"[[0, 1], [0, 3], [1, 2]]",[0],"[0.3327283594576582, 0.07708105404888688, 0.6643526491742278, 5.690666689114029, -0.007321991491588964]",0.00013358138125829573,0.00012897686109547367,0.011249736856088252,0.022517558261785864,15258
perturbed,4,1,1,0000001110,"[[0, 1], [0, 2]]",[1],"[0.028026950421452757, 0.3968290482411594, 0.6118326365007598, -2.815152875325329, -0.004314151087403406]",0.00015155687887344454,0.00014741931261616397,0.011991925660514515,0.02644860820763853,12416
perturbed,4,1,2,0000001110,"[[0, 1], [0, 2]]",[1],"[0.028025640301449606, 0.3968293548849271, 0.6118318956390292, 0.9680077052404923, -0.004314154187516905]",0.00015155687887344454,0.00014741931262014877,0.01199192507730334,0.02644864512474651,11646
perturbed,4,1,0,0000001110,"[[0, 1], [0, 2]]",[1],"[0.02802651330579442, 0.39682882652774243, 0.6118332152644861, 2.4736388645885867, -0.004314177084655757]",0.00015155687887344454,0.00014741931262692395,0.011991928045366779,0.02644845355221529,11716
perturbed,4,2,1,0011101010,"[[0, 1], [0, 2], [0, 3], [1, 2]]",[3],"[0.41850514507810344, -0.17975570545156971, -1.6890648501229548, 0.5257276655080312, 0.022659642147802028]",0.00015367335467193074,0.00015511466686135488,0.012505400317286034,0.014460998179680499,12630
perturbed,4,2,2,0011101010,"[[0, 1], [0, 2], [0, 3], [1, 2]]",[3],"[0.4185094650809429, -0.17975424014241836, -1.6890661408976686, 0.5257269010343708, 0.022659585664096316]",0.00015367335467193074,0.0001551146668685339,0.012505400022509562,0.014460969280611066,12910
perturbed,4,2,0,0011101010,"[[0, 1], [0, 2], [0, 3], [1, 2]]",[3],"[0.41850521152826614, -0.1797563274212215, -1.6890714419242976, 0.5257275633314653, 0.022659589863626373]",0.00015367335467193074,0.0001551146668730496,0.012505400071625402,0.014460955275184706,13400
perturbed,4,3,0,0011111010,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3]]",[2],"[3.932385118446493, 0.4577645785491691, 0.1430320984999689, 1.9795978451998835, -0.019462836679559503]",0.00016292088034703054,0.00016093004087461196,0.012705896760048395,0.012614275169028927,14192
perturbed,4,3,1,0011111010,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3]]",[2],"[3.9324007550567264, 0.45776554267643643, 0.14303217604989005, 1.9796017361761966, -0.01946274668897252]",0.00016292088034703054,0.00016093004087609696,0.012705895565754717,0.012614325130129644,14752
perturbed,4,3,2,0011111010,"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3]]",[2],"[3.932394809900386, 0.45776574427242966, 0.14303207471076496, 1.979604875972862, -0.019462838348908162]",0.00016292088034703054,0.0001609300409008811,0.01270589536025891,0.012614183687714895,13002
