k,horizon,regime,dimension_h0,dimension_h1,response_zero_error,response_min_abs,response_final_abs,rank64_relative_residual,effective_rank_1pct,atom_lower_bound_1pct,effective_rank_5pct,atom_lower_bound_5pct
8,2.0,perturbed,55,34,0.0,0.6737781471292361,0.6737781471292361,2.364276093516894e-16,2,1,1,0
9,2.0,perturbed,89,55,0.0,0.673778142995166,0.673778142995166,2.258757532582934e-16,2,1,1,0
10,2.0,perturbed,144,89,0.0,0.6737781431849922,0.6737781431849922,1.9924509968588723e-16,2,1,1,0
11,2.0,perturbed,233,144,0.0,0.6737781431771422,0.6737781431771424,2.0269721839297275e-16,2,1,1,0
12,2.0,perturbed,377,233,0.0,0.6737781431774404,0.6737781431774404,2.009129454308043e-16,2,1,1,0
13,2.0,perturbed,610,377,0.0,0.6737781431774297,0.6737781431774297,2.060640752490611e-16,2,1,1,0
3,5.0,perturbed,5,3,0.0,0.4865451659220964,0.598133558910514,5.689219581799254e-16,2,1,2,1
4,5.0,perturbed,8,5,0.0,0.5340558240144564,0.5456663544436523,5.064500789366635e-16,2,1,2,1
5,5.0,perturbed,13,8,0.0,0.5230811280443652,0.5526487433989539,3.108082540310544e-16,2,1,2,1
6,5.0,perturbed,21,13,0.0,0.5252125653662638,0.550065503428252,3.420969145854413e-16,2,1,2,1
7,5.0,perturbed,34,21,0.0,0.5248971064105995,0.5507264406310737,3.100873033195791e-16,2,1,2,1
8,5.0,perturbed,55,34,0.0,0.5249406363107556,0.5506037672424221,2.6822181295059613e-16,2,1,2,1
9,5.0,perturbed,89,55,0.0,0.524935679575172,0.5506266895028885,2.688668108604662e-16,2,1,2,1
10,5.0,perturbed,144,89,0.0,0.5249362109702685,0.5506233658354669,2.6702065157695393e-16,2,1,2,1
11,5.0,perturbed,233,144,0.0,0.5249361613505653,0.5506238386809144,2.501042359398708e-16,2,1,2,1
12,5.0,perturbed,377,233,0.0,0.5249361657184076,0.5506237819520569,2.4511003873617067e-16,2,1,2,1
13,5.0,perturbed,610,377,0.0,0.5249361653756799,0.550623788483446,2.5370544745387985e-16,2,1,2,1
3,10.0,perturbed,5,3,0.0,0.486547884320089,0.5896621546028373,9.57894362374278e-16,4,1,2,1
4,10.0,perturbed,8,5,0.0,0.5106973549441346,0.7167708788389158,9.83756591677633e-16,3,1,3,1
5,10.0,perturbed,13,8,0.0,0.5230839010793428,0.615875986944776,4.3940590663372844e-16,3,1,2,1
6,10.0,perturbed,21,13,0.0,0.525212565366264,0.6050375127243666,4.745389924792833e-16,3,1,2,1
7,10.0,perturbed,34,21,0.0,0.5248976311958764,0.5815239589850125,4.0037792418615867e-16,3,1,2,1
8,10.0,perturbed,55,34,0.0,0.5249406363107559,0.5824658393026229,3.941141692813739e-16,3,1,2,1
