host_code,host_n,host_edges,host_port_degree,regime,target_hilbert_dimension,surrogate_hilbert_dimension,prefix_hilbert_dimension,surrogate_max_trace_distance,prefix_max_trace_distance,trace_improvement_factor,surrogate_final_trace_distance,prefix_final_trace_distance,surrogate_max_tv_distance,prefix_max_tv_distance,surrogate_max_port_population_error,prefix_max_port_population_error
n5_0001110111,5,6,1,uniform,5168,68,68,0.010707957908186226,0.014724148671434381,1.3750659834194698,0.010707957908186226,0.014724148671434381,0.001958445690958553,0.005759583803967641,0.0018192361591291561,0.0047558769872066975
n5_0001111111,5,7,1,uniform,4558,60,60,0.012999079397798367,0.012236286760468569,0.9413194877893437,0.012999079397798367,0.012219160013424067,0.002172979688568409,0.008983131403464689,0.002172979688569665,0.008983131403463018
n5_0011011111,5,7,2,uniform,5168,68,68,0.013984219212988081,0.01925445500759343,1.3768702216646123,0.013984219212988081,0.01925445500759343,0.002790050977082164,0.012037852596689765,0.0013755891761046413,0.011493848381536442
n5_0001011111,5,6,1,uniform,5545,73,73,0.01320338574327937,0.01312689424486775,0.9942066754771173,0.01320338574327937,0.01312689424486775,0.002258667711183297,0.008896742313132793,0.002004949317459148,0.008896742313133865
n5_0111111111,5,9,3,uniform,3804,50,50,0.012930555021089009,0.023204524479692686,1.7945497654081677,0.012930555021089009,0.023204524479692686,0.002022656700178281,0.012136166163799315,0.000983333747520937,0.01123593827400865
n2_1,2,1,1,perturbed,1597,21,21,0.0014070747388192483,0.007158869731406272,5.087767930091378,0.0014070747388192483,0.007158869731406272,0.0002131438829864607,0.0027247599113018467,0.0001444025870226684,0.0015654755570438106
n3_110,3,2,2,perturbed,2817,37,37,0.0013502021670121372,0.018017672971997807,13.344426051299504,0.0013502021670121372,0.018017672971997807,0.00022040066749832998,0.0077454660148329885,9.394805380044668e-05,0.00615068391333648
n3_011,3,2,1,perturbed,2584,34,34,0.003011103958665784,0.015046272229126707,4.996928845921908,0.003011103958665784,0.015046272229126707,0.00032184519672160544,0.008100343915742478,0.00021466647407086814,0.008100343915743047
n3_111,3,3,2,perturbed,2207,29,29,0.0022359312500458608,0.010002555363102766,4.473552289632163,0.0022359312500458608,0.010002555363102766,0.0001980315515237585,0.003898878800554631,0.0001719107329852254,0.0038988788005551167
n4_011011,4,4,2,perturbed,3804,50,50,0.002391449580810027,0.012971585790873052,5.424151901408409,0.002391449580810027,0.012971585790873052,0.0002116532002746259,0.004354579648898481,0.00013986196222304237,0.003778261732022087
n4_111011,4,5,3,perturbed,3427,45,45,0.001340565701754213,0.015021569581861117,11.205396022145326,0.001340565701754213,0.015021569581861117,0.00048481880264376886,0.005268376365181682,0.00024728512972982397,0.003967400343834138
n4_011010,4,3,2,perturbed,4414,58,58,0.0017436027978088458,0.012915430515606445,7.407323807828844,0.0017436027978088458,0.012915430515606445,0.0001459919628759073,0.0034346592578980897,0.00011039328871642606,0.0026244096470880995
n4_001111,4,4,1,perturbed,3571,47,47,0.0023346992118115474,0.014174096451607448,6.071058909815384,0.0023346992118115474,0.014174096451607448,0.00024100460559590628,0.009479400166828307,0.00020222262915059463,0.009479400166828356
n4_001101,4,3,1,perturbed,4181,55,55,0.0026130199989842606,0.013879217789172286,5.311562021939154,0.0026130199989842606,0.013879217789172286,0.00021653633360280838,0.005883505083497189,0.00010917955600964202,0.00358790162478953
n4_111111,4,6,3,perturbed,2817,37,37,0.0027994590182648217,0.009738219713202089,3.478607705869577,0.0027994590182648217,0.009462373757362023,0.00022174768936431694,0.004094745504713206,0.00017664444881268504,0.003354096335373369
n4_011111,4,5,2,perturbed,3194,42,42,0.003526547379948226,0.020148739251579045,5.713446348727307,0.003526547379948226,0.020148739251579045,0.00024856648513409824,0.012352811525411428,0.00024856648513549295,0.011590489678906746
n4_001011,4,3,1,perturbed,4558,60,60,0.0029349583147214274,0.01464782018413919,4.990810298963137,0.0029349583147214274,0.01464782018413919,0.000322302202875116,0.00829945190090886,0.000310095614917516,0.008299451900908361
n5_0011101010,5,5,2,perturbed,6011,79,79,0.001507025315239544,0.009350020543125078,6.204288971508669,0.001507025315239544,0.009350020543125078,0.0001944223890438298,0.002397129089358824,5.691314237432632e-05,0.0010315184634052954
n5_0011100111,5,6,2,perturbed,5401,71,71,0.0031614552850891342,0.016329256968061846,5.165107678441025,0.0031614552850891342,0.016329256968061846,0.0001911506716202778,0.006154635817254417,0.00017094502625406016,0.006154635817253895
n5_0001010111,5,5,1,perturbed,6155,81,81,0.0026662645214733287,0.014678190563209098,5.505151662558297,0.0026662645214733287,0.014678190563209098,0.000207153910825722,0.008323525466963218,0.00018231328153217596,0.0083235254669623
n5_0001110101,5,5,1,perturbed,5778,76,76,0.002350815706367379,0.012692532332200326,5.399203475551721,0.002350815706367379,0.012692532332200326,0.00019344365047222964,0.005061835998072611,8.980532990432444e-05,0.0015039741208668633
n5_0001001111,5,5,1,perturbed,6532,86,86,0.00263398212337576,0.013827308973314377,5.2495834541173885,0.00263398212337576,0.013827308973314377,0.0004446497371013722,0.00803392740912584,0.00028412832956020706,0.007958741255058494
n5_0011101111,5,7,2,perturbed,4791,63,63,0.00282828906653781,0.01721363643726624,6.086236601811692,0.00282828906653781,0.01721363643726624,0.00016923670157189402,0.006690750686093204,0.00015330980066163846,0.005704944764783559
n5_0011100010,5,4,2,perturbed,7231,95,95,0.0016213050094223808,0.015242334413150208,9.401275099113255,0.0016213050094223808,0.015242334413150208,0.00019986397975341533,0.004638817745153144,7.981225524367197e-05,0.0038246621177273066
n5_0011101011,5,6,2,perturbed,5401,71,71,0.001996900508502316,0.010687314934461935,5.351951631519923,0.001996900508502316,0.010687314934461935,0.00014476501533705177,0.0028260821411019666,8.162621880476728e-05,0.0005829649613854904
n5_0001010101,5,4,1,perturbed,7375,97,97,0.0024741503305037303,0.013050187730030804,5.274613902451845,0.0024741503305037303,0.013050187730030804,0.00021894948340175566,0.0031733401549510036,9.329803465601971e-05,0.0023881896495080435
