target_k,horizon,regime,prefix_atoms,max_time_error,relative_l2_time_error,relative_hankel_error
4,2.0,perturbed,1,0.1085245688115237,0.04474528060070117,0.02980669968575528
4,2.0,perturbed,2,0.019833145206435556,0.006774391320721084,0.0038242547850716696
4,2.0,perturbed,3,0.002837296439186688,0.0008364112636467276,0.0004132379739095945
5,2.0,perturbed,1,0.10824926440650812,0.04467964444826528,0.029779182233798305
5,2.0,perturbed,2,0.020108632064952878,0.0068457245130149535,0.0038554474796434427
5,2.0,perturbed,3,0.0025618333182759996,0.0007634741254128411,0.00038062356215534264
6,2.0,perturbed,1,0.1082710925796139,0.044684254398648066,0.029780909395717373
6,2.0,perturbed,2,0.020086804882365753,0.00684064768137072,0.0038534387279260357
6,2.0,perturbed,3,0.0025836679458944942,0.00076872132671806,0.00038276610412910295
7,2.0,perturbed,1,0.10826963032174279,0.044683977024695266,0.029780815410975506
7,2.0,perturbed,2,0.020088267926052575,0.0068409565782050746,0.0038535503639750167
7,2.0,perturbed,3,0.002582204937902298,0.0007683991652522303,0.0003826449695670921
8,2.0,perturbed,1,0.10826971524446685,0.04468399164812887,0.029780819935285644
8,2.0,perturbed,2,0.020088182997271123,0.006840940154217632,0.003853544899151932
8,2.0,perturbed,3,0.00258228988944446,0.0007684164304499123,0.0003826509867875775
9,2.0,perturbed,1,0.10826971089485335,0.044683990962095015,0.02978081973993977
9,2.0,perturbed,2,0.02008818734891956,0.006840940930708981,0.0038535451385990137
9,2.0,perturbed,3,0.002582285537712659,0.0007684156090549828,0.0003826507199388864
10,2.0,perturbed,1,0.10826971109417396,0.044683990991101284,0.029780819747592432
10,2.0,perturbed,2,0.02008818714957658,0.006840940897680442,0.0038535451291057733
10,2.0,perturbed,3,0.0025822857371039414,0.0007684156441955695,0.0003826507306327211
11,2.0,perturbed,1,0.10826971108591597,0.04468399098998539,0.029780819747318055
11,2.0,perturbed,2,0.02008818715783825,0.006840940898958346,0.0038535451294498275
11,2.0,perturbed,3,0.0025822857288419912,0.0007684156428296354,0.00038265073024166017
12,2.0,perturbed,1,0.10826971108622906,0.044683990990025214,0.029780819747327568
12,2.0,perturbed,2,0.020088187157525108,0.00684094089891264,0.0038535451294379915
12,2.0,perturbed,3,0.0025822857291551973,0.0007684156428786345,0.00038265073025510465
13,2.0,perturbed,1,0.10826971108621779,0.044683990990023605,0.029780819747326926
13,2.0,perturbed,2,0.020088187157536366,0.006840940898914404,0.0038535451294386368
13,2.0,perturbed,3,0.0025822857291439333,0.0007684156428767943,0.0003826507302544666
3,5.0,perturbed,1,0.5080434184586161,0.4347865520389785,0.41857938037803505
3,5.0,perturbed,2,0.661015793872218,0.41804021324734847,0.32812217383105413
3,5.0,perturbed,3,0.0,0.0,0.0
4,5.0,perturbed,1,0.7686205270380271,0.5688971941403563,0.5067754365567972
4,5.0,perturbed,2,0.3961522268738063,0.26539018963750416,0.21661742111810792
4,5.0,perturbed,3,0.2654232442891093,0.1489257978597013,0.10668524857642243
5,5.0,perturbed,1,0.6925986496574541,0.5338795473775161,0.4851803986063668
5,5.0,perturbed,2,0.472672767101007,0.30590488966645596,0.24385333344697532
5,5.0,perturbed,3,0.18905964851200033,0.10924126771295362,0.0799745224348834
6,5.0,perturbed,1,0.709989014712471,0.5414364956536187,0.48955234429308764
6,5.0,perturbed,2,0.45515008114388955,0.2972152878192671,0.2383196024882288
6,5.0,perturbed,3,0.20652887538434744,0.117875428682557,0.08549861969698452
7,5.0,perturbed,1,0.7066466592391976,0.5400588210401503,0.4887980000756348
7,5.0,perturbed,2,0.4585468913453997,0.2987834134862851,0.23926781912824388
7,5.0,perturbed,3,0.20316184291307773,0.11629563300359493,0.08453311412066007
8,5.0,perturbed,1,0.7072076658479519,0.5402762416933585,0.4889110356218122
8,5.0,perturbed,2,0.45797522683758435,0.2985361627579727,0.2391253879634447
8,5.0,perturbed,3,0.20372741629968927,0.11654686378984423,0.08468004881474857
9,5.0,perturbed,1,0.7071251280447689,0.5402457739764842,0.48889594882229015
9,5.0,perturbed,2,0.45806003385734484,0.2985704957662945,0.23914432531633395
9,5.0,perturbed,3,0.20364398564182445,0.11651162147414727,0.08466026679636479
10,5.0,perturbed,1,0.707136100254862,0.5402495936140416,0.4888977543268851
10,5.0,perturbed,2,0.45804872047828427,0.2985661991370884,0.23914205553294307
10,5.0,perturbed,3,0.20365508882850786,0.11651606303302078,0.08466266163374185
11,5.0,perturbed,1,0.7071347887495322,0.5402491585060508,0.48889755760866394
11,5.0,perturbed,2,0.4580500835767294,0.2985666844193449,0.23914230201170597
11,5.0,perturbed,3,0.20365375828506277,0.11651555718331388,0.08466239913484619
12,5.0,perturbed,1,0.7071349338130125,0.5402492039813617,0.48889757728987393
12,5.0,perturbed,2,0.4580499321730127,0.2985666338578731,0.23914227734102508
12,5.0,perturbed,3,0.20365390565240354,0.11651561021886457,0.08466242561856896
13,5.0,perturbed,1,0.7071349191708157,0.5402491996056339,0.48889757547396534
13,5.0,perturbed,2,0.45804994757040796,0.29856663868291017,0.23914227960979734
13,5.0,perturbed,3,0.20365389074163032,0.11651560512089593,0.08466242316478773
3,10.0,perturbed,1,1.0280802692837367,0.6425082803153516,0.6178314490941996
3,10.0,perturbed,2,0.6880685397913566,0.6091219055274303,0.7495381381390432
3,10.0,perturbed,3,0.0,0.0,0.0
4,10.0,perturbed,1,0.8716874270266547,0.7412490941882742,0.938410374790175
4,10.0,perturbed,2,0.44003451562950463,0.4390825840746787,0.5208942081609711
4,10.0,perturbed,3,0.46506191250067713,0.42474914518994117,0.4491239907166979
5,10.0,perturbed,1,1.0457218823577132,0.7473212162526378,0.8378242191999016
5,10.0,perturbed,2,0.4845554535246103,0.4761190444997697,0.591450594906431
5,10.0,perturbed,3,0.21236196504786123,0.20144993764922578,0.2555220233470501
6,10.0,perturbed,1,0.8770762865777594,0.7168566375869474,0.8618096264026501
6,10.0,perturbed,2,0.46473175492257285,0.44936514053531446,0.5691358053776195
6,10.0,perturbed,3,0.325729163290258,0.3078765628757581,0.3325268737369689
7,10.0,perturbed,1,0.9461501851724116,0.7335228578462778,0.8573509904780972
7,10.0,perturbed,2,0.46874100553476594,0.4519734669476108,0.5733428088084481
7,10.0,perturbed,3,0.2724591540938575,0.26089491158916606,0.3036946030732297
8,10.0,perturbed,1,0.9092417376890813,0.725133787556263,0.8574886160192029
8,10.0,perturbed,2,0.46802578400946754,0.45043602682509076,0.5722780378887506
8,10.0,perturbed,3,0.28892890405842053,0.2776418973507505,0.3128050444536793
9,10.0,perturbed,1,0.9228674348359739,0.7282456297902171,0.8576837889766774
9,10.0,perturbed,2,0.4681386400622262,0.45073664451176865,0.5724774613526857
9,10.0,perturbed,3,0.2833870821311704,0.2718802787042697,0.3099606844345393
10,10.0,perturbed,1,0.9186785169812683,0.7272901315919729,0.8575794001966607
10,10.0,perturbed,2,0.4681224816502786,0.45066918520937466,0.5724398283194696
10,10.0,perturbed,3,0.2848064828977135,0.2734860584568125,0.31070287865601415
11,10.0,perturbed,1,0.9197928037659044,0.7275441135469594,0.857613761824498
11,10.0,perturbed,2,0.46812457648309763,0.4506781840356988,0.5724454531047345
11,10.0,perturbed,3,0.28446594617441834,0.2730811714670596,0.31052637061654065
12,10.0,perturbed,1,0.9195306886676525,0.727485022272991,0.8576049343535518
12,10.0,perturbed,2,0.46812432500114043,0.450677129377111,0.5724446631495291
12,10.0,perturbed,3,0.2845374795760905,0.2731714497518656,0.3105639692291289
13,10.0,perturbed,1,0.9195855681252985,0.727497240084678,0.857606894937745
13,10.0,perturbed,2,0.46812435262153146,0.45067700440504643,0.5724447250653678
13,10.0,perturbed,3,0.28452408914600597,0.27315345373151856,0.31055679263437097
3,20.0,perturbed,1,1.5285993324873806,1.1827901132014993,1.1717819035056503
3,20.0,perturbed,2,0.6880685397913532,0.6612073180402211,0.6474021925754132
3,20.0,perturbed,3,0.0,0.0,0.0
4,20.0,perturbed,1,1.257900644777576,1.2697281171506847,1.2833335256565355
4,20.0,perturbed,2,0.7964133159865012,0.6422760579307012,0.5564694134675972
4,20.0,perturbed,3,0.46506191250067247,0.4653977555143441,0.5411440783586591
5,20.0,perturbed,1,1.4149483781432717,1.3024892847533456,1.3409430372110138
5,20.0,perturbed,2,0.6582278022249677,0.660743059282866,0.6352050818041532
5,20.0,perturbed,3,0.21236196504785984,0.20980846539458675,0.2313332100798197
6,20.0,perturbed,1,1.251919317082447,1.2373891355751279,1.2914069400360277
6,20.0,perturbed,2,0.9244244879846418,0.735580120674431,0.6459242895918615
6,20.0,perturbed,3,0.40975078110560414,0.41353288076227795,0.45287315756836644
7,20.0,perturbed,1,1.3970695892763976,1.308987822102659,1.3527119731280888
7,20.0,perturbed,2,0.6889830259464748,0.6787073918450557,0.6452866436818082
7,20.0,perturbed,3,0.2724591540937733,0.2855959030568857,0.32983874980999744
8,20.0,perturbed,1,1.2227373854864423,1.2384833580161059,1.3094132392710929
8,20.0,perturbed,2,0.9268290096738401,0.7597256132997549,0.6705368443773769
8,20.0,perturbed,3,0.38514660293124653,0.38145803507566534,0.4077250019864877
9,20.0,perturbed,1,1.3279518152132654,1.286069381733303,1.3332083133422177
9,20.0,perturbed,2,0.7740215876639783,0.7070087686423802,0.654983518595412
9,20.0,perturbed,3,0.30244788342287365,0.32565732349214965,0.3664340676614754
10,20.0,perturbed,1,1.2550672290098492,1.2592870215109637,1.322462572725868
10,20.0,perturbed,2,0.8583290847557997,0.7387255324338885,0.660905070979711
10,20.0,perturbed,3,0.3371512757594976,0.3492904369962265,0.3828043275961747
11,20.0,perturbed,1,1.297613561373663,1.273816085063198,1.3269038764473955
